,Date,Tweets
0,2019-02-16 05:54:46,@Qantas Just had a really bad experience with your chat on the website  I can send you the transcript if necessary  #Qantas
1,2019-02-16 03:45:20,The little Boeing that DEFINITELY could....and does! https://t.co/IFwHQ5J8Kp #boeing717 #qantas
2,2019-02-16 02:13:27,Calling #HBF and other health funds to create an app that reduces my health fund premiums if I exercise and sleep well. Check out this innovation from #qantas #sleep #wellness https://t.co/TdMiZLcFNI
3,2019-02-16 01:50:23,WOW: Qantas uses virtual reality to reveal the design of its new First Lounge https://t.co/lMwFwoHq7h @Qantas #Qantas #airlinenews #firstlounge #Singapore @ChangiAirport #virtualreality https://t.co/dkM0dBkQ41
4,2019-02-16 01:30:24,Homeward trusty airsteed! Fucking transit longer than the conference. See youse in 22 hours. #qantas #dfw
5,2019-02-16 01:16:48,Qantas 737 VH-XZG 'Bungendore' departing Canberra on runway 17 05/10/18. #avgeek #aviation #photography #qantas #737 #bungendore #canberra #australia https://t.co/pS4sOOnOj1 https://t.co/sTsDweZx7U
6,2019-02-16 01:05:43,WOW: Qantas uses virtual reality to reveal the design of its new First Lounge https://t.co/5JSggapSXL @Qantas #Qantas #airlinenews #firstlounge #Singapore @ChangiAirport #virtualreality https://t.co/niioHRlboV
7,2019-02-16 00:35:35,Beautiful sky at #Sydney. Home sweet home soon!! #transit #qantas @ Sydney International Departure Airport https://t.co/chUYddFieN
8,2019-02-16 00:21:07,My business class flatbed wouldn't recline on a 15-hour flight https://t.co/bnKKpHLz7d @borganstein At least you got to Sydney... :-( #Qantas #Fail
9,2019-02-15 22:31:40,5 hour flight ✈ 🤦‍♂️⚽️👊🦁 lets do this !!! Giddy up Lads . #brisbaneroarfc #BRFC #RoarAsOne #perthbound #Aleague #nibstadium #myclub #qantas #beautifulday #3points #kitman #brisbaneroar… https://t.co/oXLCJpDU6n
10,2019-02-15 22:31:04,No wonder I love coming to the thesunsetcinema ...there really is magic in the air #marypoppinsreturns #qantas #B744 #SYDHNL #belatedgram @ Sunset Cinema North Sydney https://t.co/nKrX8IpRu7
11,2019-02-15 20:10:54,@SirThomasWynne @rodp48 People wonder why the Border security budget is in the BILLIONS&lt;&lt;&lt;the leprechaun #Qantas and Joyce wont do freebees
12,2019-02-15 16:18:30,SO YOU #ATTEND #CHURCH-That #alone doesn't #Make You A Christian_What are YOU #Doing In Obedience to #Christ's #GO! YOU #NEED TO #START &amp; #WIN #SOULS! JesusChristEmpowersWisdom #Qantas #GoWinx #CanberraHospital #Streetstyle #Sellingtwitter #Prayerwarriors
13,2019-02-15 13:45:01,immersive #VR representation of the #design concept that gives #Qantas a better way to preview and fine-tune lounges and upgrade the cabins on the airline’s #A380 superjumbos.  #VirtualReality helps build dazzling Qantas #Singapore Lounge https://t.co/GjXV88sPfQ https://t.co/DzIlduUCTD
14,2019-02-15 12:16:36,Sunshine @adelaideairport @qantas Aviators 🕶🕶@wwa13 #qantas @ Adelaide Airport https://t.co/0pQNq7xMpx
15,2019-02-15 12:13:45,Food to help you battle jet lag. Who knew?!? . . . #airtravel #travel #jetlag #food #qantas #innovation #travelnews #australia #newzealand #adventure #travelling #blog #travelblog #airplanefood https://t.co/8tq2Bntgve
16,2019-02-15 10:42:39,So very shortly we’ll board @Qantas non-stop #London to #Perth. That’s 17 hours ... I cannot say I’m looking forward to that but maybe #Qantas is full of surprises! https://t.co/yohNZ2WS3I
17,2019-02-15 10:16:07,Qantas uses virtual reality to prepare new Singapore lounge #Qantas  https://t.co/KwLTNVQ5YK
18,2019-02-15 10:08:04,@Qantas 717 (VH-YQS) climbing out of @SydneyAirport 😍 This thing takes off like a rocket!🚀 #helicopterspotting #r44 #sydney #takeoff #qantas #boeing717 @BoeingAustralia @BoeingUK https://t.co/OZTo26k0Yj
19,2019-02-15 09:47:49,Earning 2 Qantas points per dollar spent at @munichbrauhaus 😍 ⠀  #MunichBrauhaus #Sydney #Australia #foodie #foodies #German #sausage #foodphotography #amex #AmexLife #amexplatinum #Qantas https://t.co/7DR05uElYv
20,2019-02-15 08:10:57,Yet another great reason I don’t fly #Qantas anywhere ever https://t.co/BwmHt62rt8
21,2019-02-15 06:41:31,WOW: Qantas uses virtual reality to reveal the design of its new First Lounge https://t.co/lMwFwoHq7h @Qantas #Qantas #airlinenews #firstlounge #Singapore @ChangiAirport #virtualreality https://t.co/oKS74p2co6
22,2019-02-15 06:35:06,This #FlashbackFriday photo was taken around 1935 and shows two @Qantas DH-86A Vh-USD and VH-UUA at the Archerfield Aerodrome in Queensland.  #Qantas #Archerfield #avgeek #DH86 https://t.co/7DE5aCkjuD
23,2019-02-15 06:26:48,"Why does it not surprise me that @qantas will happily deduct 25,000 FF points for a flight that wasn’t taken and that there is no recourse to recoup them? #greedy #qantas #noloyalty"
24,2019-02-15 06:08:27,"#ThisIsAustralia ""driving"" 🤔🙄🤔 #ausbiz #aviation #FeelsLikeHome #Qantas https://t.co/jLYORZfKdl"
25,2019-02-15 06:00:43,WOW: Qantas uses virtual reality to reveal the design of its new First Lounge https://t.co/5JSggapSXL @Qantas #Qantas #airlinenews #firstlounge #Singapore @ChangiAirport #virtualreality https://t.co/ZlWwcxYnKQ
26,2019-02-15 03:25:54,First overseas trip coming up so exciting. I can’t wait yay  #travel #southamerica #airplane #qantas #peru #Argentina #melbourne #overseas #teddybear #april
27,2019-02-15 02:52:31,SUPER CANCELLED: Qantas cancels A380 order https://t.co/JYIzH4Ai7u @Qantas #qantas #superjumbo #plane #aircraft #a380 #airbus #flying #travel #tourism https://t.co/iOBvX4mktH
28,2019-02-15 01:57:32,SUPER CANCELLED: Qantas cancels A380 order https://t.co/3yYarWsOy5 @Qantas #qantas #superjumbo #plane #aircraft #a380 #airbus #flying #travel #tourism https://t.co/g6x71WJPJx
