,Date,Tweets
0,2019-02-16 06:12:42,"A special shout out to #vistara for the wonderful flight UK 959 - excellent service, spacious leg room and overall a pleasant experience. Pl start a Ahmedabad kolkata sector soon"
1,2019-02-16 04:19:09,"Lounge hospitality at its best. #airvistara Thank you for such a warm service for club vistara members. A big thanks to Pardeep, Suraj and Rahul at T3,IGI, Delhi for their amazing service . #clubvistara #Vistara #VistaraWorld https://t.co/57OZCyxXTR"
2,2019-02-15 13:12:48,Vistara has the worst web checkin process in the industry @airvistara #Vistara
3,2019-02-15 06:05:43,@airvistara I’m not in a hurry! I’m looking forward to the features added on #Vistara #app :). Can’t ask others too many questions :P
4,2019-02-15 05:50:37,@TheSanjivKapoor @airvistara can't thank you guys enough. You are seriously the best airline ever in India.#Vistaralove #Vistara
5,2019-02-15 05:49:39,#VandeBharat Express Vs #AirIndia vs #SpiceJet vs #Vistara vs #Indigo: Train 18 #IRCTC tickets SOLD OUT! Future bright for #BulletTrain? https://t.co/nn2YHe4HH6
6,2019-02-15 04:15:07,"Chai at 30,000 feet tastes oh-so-good thanks to Vistara our official travel partner for the Ahmedabad Ultimate Open!   #AhmedabadUltimateOpen #Nationals #UltimateFrisbee #FirstTimeFlying #TravelPartners #Vistara... https://t.co/0u1KtRUXXN"
7,2019-02-14 12:30:12,"Fare starts from Rs 899, inclusive of all charges and taxes, under the @airvistara sale offer.... https://t.co/PPUsejwGzQ #cheaptickets #cheapflighttickets #cheaptickets #cheapflight #budgetairline #vistara #valentinesday #vday #valentinesday2019 https://t.co/QH9Y1HoKD9"
8,2019-02-14 06:21:10,"#Vistara (@airvistara) flight UK 946 and #GoAir (@goairlinesindia) #flight G8 709, both, from Ahmedabad to Delhi diverted to Lucknow &amp; Jaipur resp. due to bad weather conditions.  Diversion of two other flights expected.  #Delhi #DelhiRains  @moneycontrolcom @DelhiAirport"
9,2019-02-13 17:42:44,The best coffee ever on board a flight. #frenchpress #onboard #VistaraView #vistara @airvistara #starbucks https://t.co/61pUQq5mov
10,2019-02-13 16:23:43,@naghma_khn And he’s on a plane to Bengaluru. #TBSDelhi #ETR2019 #Vistara https://t.co/aBFvSv6EBG
11,2019-02-13 13:22:44,#Vistara and #IndiGo announce sale on major routes  https://t.co/Ss3hxy9Zpj
12,2019-02-13 09:24:01,"@airvistara Spoke one of your InExperience agent #devashukla regarding the Change of date in ticket, sad part was she took my precious time and get result nothing. No more #vistara now. Good bye"
13,2019-02-13 04:54:55,@airvistara says impact from international flight approval delays manageable. #avgeek #Vistara  https://t.co/jszUOuLuxn via @FinancialXpress @manishasinghal
14,2019-02-13 04:19:43,#Vistara is working with Singapore Airlines and Scoot to provide around 20 of its pilots training and operational experience for about a year before its Boeing 787 fleet goes into operation. # https://t.co/VqGN86BKYk
15,2019-02-13 03:36:31,"Flying #Vistara to or from Goa or Kolkata tomorrow? You may be on our retro flight, on the #VistaraRetrojet. Schedule below. And don't forget the #VistaraRetroValentinesDay contest! @airvistara #FlyHigher #NotJustAnotherAirline https://t.co/489DKzFwLH"
16,2019-02-12 17:30:00,"@airvistara #VistaraRetroValentinesDay I want to dedicate ""Every night in my dreams I see you, I feel you That is how I know you go on"" ✈ ✈ 😍 @Bubbly_Shreya #vistara can takes us miles. https://t.co/EdyUiwONXL"
17,2019-02-12 15:07:44,"Amazing food, beautiful presentation. #vistara #iphonephotography https://t.co/dZSuPscxqL"
18,2019-02-12 15:00:39,"Delays in regulatory approvals for international flights have had only a limited impact on Indian airline Vistara's business, the chief executive of the Tata Sons and Singapore Airlines Ltd joint venture said on Tuesday: Reuters #vistara #airline #aviationinindia #aviation"
19,2019-02-12 14:57:33,"Vistara is offering a Valentine's Day sale with fares starting ₹899 all-in for Economy, ₹1499 for Premium Economy and ₹5499 for Business Class, inclusive of taxes and fees #vistara #airfare #airfare #sale #deal #aviationinindia"
20,2019-02-12 13:30:11,"#Vistara announces #ValentinesDay #Sale with discounts of up to 80%. Fares for Economy Class start at ₹899, Premium Economy at ₹1499 &amp; Business Class at ₹5499, all inclusive.  Book Now for travel between Feb 27 &amp; Sept 18.  #Travel #Tourism #Aviation #News #ProTourism https://t.co/qHYhZ0RJHW"
21,2019-02-12 11:42:53,"#indigo6e has again cancelled my flight from BLR to DEL 6E2305, PNR QGW6HW... thankfully my return flight is via #Vistara atleast i can hope on coming back without hassles or worry of flight cancellations"
22,2019-02-12 09:45:39,"Vistara expects to receive 12 jets in the 2020 financial year starting April 1, including its first two Boeing Co 787 widebodies, Chief executive said. https://t.co/VuqOIUTdJ0 #vistara"
23,2019-02-12 04:29:44,"@akm1410 Trouble is ... don’t know whether @IndiGo6E Indigo will take off! Scheduling rostering issues have led to major flight cancellations! #aviation industry is in a sudden mess! Barring #Vistara no airline is safe today from issues, it’s absolute chaos for them!"
24,2019-02-12 03:30:16,#FlightDiaries: #Vistara flight in the night over the Sky of #faridabad and #NewDelhi: https://t.co/FjmTLDBNJy #MyIndianOdyssey #MyGlobalOdyssey #IncredibleIndia #Travel #India #Backpackers
25,2019-02-11 17:36:51,#Vistara sale: Rs 899 Valentine's Day Sale announced; deadline applicable  https://t.co/WAXEy5as9p #vistarasale @airvistara #valentinesday
26,2019-02-11 14:13:41,#FlightsSale : Budget airline IndiGo and full-service carrier Vistara on Monday announced sale on major routes. #IndiGo #Vistara #FlightsTicket https://t.co/Wu0jAn611P https://t.co/Wu0jAn611P
27,2019-02-11 02:56:44,@jetairways WORST AIRLINES ###VISTARA is the Best
28,2019-02-10 03:30:14,Taking off from Mumbai Airport&amp; landing at New Delhi through #Vistara - #TimeLapse Video: https://t.co/HvryuMFuqC #MyIndianOdyssey #MyGlobalOdyssey #IncredibleIndia #Travel #India #Backpackers
29,2019-02-10 01:46:35,Can't believe I'm listening to Jose Feliciano as I prepare to take off on #Vistara UK855 to Goa ! They have the best choice of  music on board #flythenewfeeling
30,2019-02-10 00:52:47,One can feel touch of Tata in Vistara supplemented by Singapore airlines. Helping ground staff &amp; very young on board air hostesses makes flight very pleasant. Hope they will improve food quality. #vistara @airvistara @AAI_Official https://t.co/jTsQCtB8R1
31,2019-02-09 14:31:30,"A truly spectacular view fitting to the weather! 📸 credit: Mayukh Hazarika  The next time you sit by the window on a #Vistara flight, click a photo and use the hashtag #VistaraView for a chance to be featured on our social pages.  #FlyHigher #FlyTheNewFeeling https://t.co/Ah9ePzmOBg"
32,2019-02-09 13:09:03,Flew #vistara UK820 to delhi! What a great experience! @airvistara @RNTata2000 From crew to every complementary items to the timing of the flight were one of a kind! #vistaraalways
33,2019-02-09 08:06:20,One thing I would like to add here is that @airvistara has till date not received permission to start international operations from @MoCA_GoI. Also there is not doubt #Vistara will be looking to start international flights from #Pune. #avgeek @aaipunairport #PuneAirport @TOIPune https://t.co/j8L7owN6UL
34,2019-02-09 06:59:44,"Batch 55 of fantastic #Vistara cabin crew graduated yesterday. Here they are celebrating with their batch lead trainer, members of the training team, and me :). @airvistara #NotJustAnotherAirline https://t.co/nLboHHWTRu"
35,2019-02-09 05:58:32,International Flight From Pune On Vistara’s Radar  https://t.co/fuVa4hNx6F  @airvistara #Vistara #Aviation
36,2019-02-09 04:07:54,"‘Keep watering yourself, You are growing’   Kineer Blessed to quench your thirst – https://t.co/OuRnhefbJw  #laxminarayantripathi #lgbtq #employment #dignity #love #kineer #water #sustainability #paradigmshifts #thelalit #vistara #socialjustice #makeinindia #csr #beinghuman https://t.co/NuWbLcyFAV"
37,2019-02-09 03:30:13,#Vistara flight from Mumbai International Airport to New Delhi Airport: https://t.co/hBeEOXjPOk #MyIndianOdyssey #MyGlobalOdyssey #IncredibleIndia #Travel #India #Backpackers
38,2019-02-09 00:46:52,"Not applicable in my case. But it feels so nice to hear the song ""Homeward Bound"" by Simon and Garfunkel in the early morning flight #UK811 to Bangalore from New Delhi. So thoughtful of #Vistara."
39,2019-02-08 21:23:15,Today’s view from the window ♥️ . . #sunset #clouds #viewfromabove  #flythenewfeeling #spotvistara #vistara #sunsetporn #aviation #nature #cloudporn #planes #travel #somewhereoverbangalore… https://t.co/31qhvUujLE
40,2019-02-08 07:54:15,"For me #vistara has the best #soundtrack of any Indian airline #pinkfloyd playing right now #shineonyoucrazydiamond, the song selection seems like it’s my own playlist! Can’t get more… https://t.co/YYkGZyevOJ"
41,2019-02-08 03:30:16,#FlightDiaries: #Vistara flight from Delhi to Mumbai (Time Lapse Video): https://t.co/yGtS9LQvBC #MyIndianOdyssey #MyGlobalOdyssey #IncredibleIndia #Travel #India #Backpackers
42,2019-02-07 10:49:02,Why fly high when you can Fly Higher? #FlyHigher with #Vistara. @airvistara #NotJustAnotherAirline https://t.co/uV2zR1rZUz
43,2019-02-07 06:21:03,"Lesso, Priority Class  See in Vistara in-flight Magazine  #Vistara #PVCConduit #fittings #airlines #February2019  For More Detail : Call - 1800-102-2128 Visit - https://t.co/y9amKHD0P6  source: vistara https://t.co/nzi4LoAwev"
44,2019-02-07 04:16:36,"Looters of #Kashmir has flashed no's for passengers to get the #flight status confirmed #GoAir: 0194-2303347/45, ,  #Spicejet: 9871803333, .  #indigo: 9910383838.  #JetAirways: 011-39893333,  #Vistara: 9289228888.  #AirAsia: 8046662222.  #AirIndia: 18602331407."
45,2019-02-07 03:30:16,Complete #Vistara flight video from Mumbai to New Delhi: https://t.co/oLdMZw3euO #MyIndianOdyssey #MyGlobalOdyssey #IncredibleIndia #Travel #India #Backpackers
46,2019-02-06 22:19:08,@TheSanjivKapoor @airvistara Used to always travel with #Vistara on Bengaluru - Kolkata direct route &amp; loved it but not sure why it was stopped. Pls #startBLRCCUroute again. #VistaraLove  I hv been notifying this to u guys several times but not sure why u r turning a deaf ear to it. #doNotIgnoreBLR_CCUroute
47,2019-02-06 15:57:12,"My traveling partner from #Delhi to #Kolkata and return, amazing food and service @airvistara made my trip memorable #EpicTruth #ChefTraveller #KolkataDiaries #Vistara https://t.co/6r3T6JsmDS"
