,Date,Tweets
0,2019-02-15 11:18:21,"#wowair Hi, I am traveling with hand-lagguage in a few days and would like to take crampons/spikes for the shoes with me. Could you let me know if this would pass through the security checks or could it be considered as weapon? Thank you in advance, Sarah"
1,2019-02-15 03:44:42,It'll all equate to about the same price but bet you i get to the airport and said shit airline #wowair incurs me more charges
2,2019-02-14 22:50:15,"All you need is love, but a little WOW doesn’t hurt! 💘  H A P P Y  Valentine’s Day! 😍💗  #wowair #valentinesday https://t.co/qOdkhWhkiE"
3,2019-02-14 18:27:07,@MrGrahamMunro @wowairsupport @wow_air File a complaint w/ Icelandic Transport Authority https://t.co/bsWQktOzLQ and the transportation authority in the country of flight origin ASAP. I see you're from FLA. In the US the link for USDOT: https://t.co/SiteaxNsFq. #BuyerBeware of #WOWair #WOWairSupport
4,2019-02-14 00:21:26,Wow Air Has $49 Flights to #Europe Right Now https://t.co/9PIFwf3e9z via @CNTraveler #Travel #WowAir
5,2019-02-13 23:46:36,Worst customser service ....  and all service!! @wow_air wow_airlines #wowair #wowairlines #wowairsucks https://t.co/wl24VWQ3X0
6,2019-02-12 14:26:17,"Are you called Valentine or Valentina? #WowAir is offering #FREEflights, if you are called #Valentine / #Valentina! https://t.co/k2dyyel6yT"
7,2019-02-12 12:27:00,"ICYMI: For all you #Valentine's out there, it's not too late to claim your #freeflight! 💗 #WOWAir https://t.co/s63zLWVkIt"
8,2019-02-11 20:48:23,#wowair #breakingguitars @wowairsupport as suspected the cowboys at wow air still haven't settled my claim for the guitar their baggage handlers destroyed 6 months ago. Sadly I now have to sue them. What an abysmal bit of customer service.
9,2019-02-11 16:28:08,#wowair - lives to fly another day but without their #a330 ! #Avgeek #airbus #iceland https://t.co/GdVv6Iazjy
10,2019-02-10 18:36:05,Fact you can have more than 24 hours in a day. Flying against time from Iceland   On plane #WOWAIR which was great experience - USB to keep phone charged and power for laptop.   #WT2019
11,2019-02-10 15:29:47,We are so sad to be leaving Iceland today. If you want an absolutely amazing weekend getaway and live in Toronto... try @wowairsupport !! It’s cheaper than driving to Montreal and the same amt of time! #wowair #traveliceland #icelandtravel @wowair #exploreiceland #travelcouple https://t.co/fj1svMvxbH
12,2019-02-08 06:31:22,"So @wow_air, the joke keeps getting worse: First you deliver my luggage the day I fly BACK (10 days too late), then it takes days to agree on a compensation, now I've been waiting since October for the money. Worse thing: 4 mails, no answer. Way to go @wowairsupport. #wowair."
13,2019-02-08 02:23:32,A WOW air A330 taking off from SFO! WOW air @wow_air #WOW #WOWair #Iceland  San Francisco International Airport @flySFO #SFO #SanFrancisco TF-GAY @Airbus #Airbus #A330-300 MSN: 1098 21/07/18 #planespotting #avgeek #aviation #aviationlovers https://t.co/kmBgjeGEHq
14,2019-02-07 22:20:10,THAT ✨ V I E W 🙌🏻🥰  Photo by Greg Browne 📸👌🏻  #wowair https://t.co/D3HfRRWqY6
