,Date,Tweets
0,2019-02-16 03:07:38,Something to think about when traveling with kids #airnewzealand #skycouch https://t.co/lhxyEnu9FO
1,2019-02-15 02:10:47,#AirNewZealand is a horrible airline any one agree with me?
2,2019-02-15 00:42:44,Nice flight with #AirNewZealand ! — at Sydney Airport https://t.co/SrgPLNwUDQ
3,2019-02-14 19:58:51,"Pretty shocked at the amount of single use items in the @FlyAirNZ regional lounge in @CHC_Airport  And no seperation of materials for disposal. For a company that boasts about their sustainability measures, this is disappointing. #airnewzealand https://t.co/hMUyBaj6Xc"
4,2019-02-14 19:47:49,Turn off your devices when crossing the tarmac... someone should have told him. #wellingtonairport #airnewzealand https://t.co/7XIgezfInI
5,2019-02-14 15:00:07,"There are flights to Wellington right now as low as US$800 from the US West Coast! Buy now!   Check out the work below for Air New Zealand by Auckland Agency, Assembly.  #airnewzealand #wellington #modesummit #mode19 #motion #motiondesign... https://t.co/xrj2QVBQX9"
6,2019-02-14 06:56:51,@globaltaiwan Sorry #China..Taiwan isn't owned by you...  #SorryNotSorry #Taiwan #AirNewZealand
7,2019-02-13 21:35:49,A rainy New Year’s Day at the #Auckland War Memorial Museum #travel https://t.co/Sbmkcx7z54 #airnewzealand #food #history #museums #newzealand
8,2019-02-13 17:01:19,An #AirNewZealand plane en route to #Shanghai was forced to return to Auckland because its paperwork included a reference to #Taiwan. #China understood the reference to be an acknowledgement that the island was independent. https://t.co/W5hI568cNv
9,2019-02-13 10:46:06,Be Unique!  #traveller #travelphotography #travel #travelinsta #motivation #inspire #inspirationalquotes #positivevibes #SuccessTRAIN #DreamBig #motivationalquotes #lawofattraction #NeverGiveUp #quoteoftheday #positivethinking #adventure #travel #BreakingNews #AirNewZealand https://t.co/hgH2vsCq2C
10,2019-02-13 10:08:16,"“Five and a half hours to nowhere”...  #airnewzealand flight to #shanghai was turned away due to reference to #taiwan. #china had instructed airlines to review website references and remove material that identified Taiwan, Macau, HK as independent regions. https://t.co/PHW031ML8c"
11,2019-02-12 22:29:27,Find a way out of no way!  #motivation #inspire #inspirationalquotes #positivevibes #SuccessTRAIN #DreamBig #getfit #motivationalquotes #lawofattraction #NeverGiveUp #quoteoftheday #positivethinking #adventure #travel #BreakingNews #AirNewZealand #TheTravellingWebDesigner https://t.co/8MHSwWi5Fk
12,2019-02-12 19:21:49,New Zealand flight turns back mid-air after discovering it lacks permission to land in #China.  #Travel #NewZealand #AirNewZealand #aviation #airline #avgeek #flight  https://t.co/8ozef99nNp
13,2019-02-12 10:30:47,#AirNewZealand flight to Shanghai turned away on #Taiwan reference: Stuff https://t.co/tKnsdvlglX https://t.co/WrS2ksxxDw  @businesstimes
14,2019-02-12 08:30:24,A few small tweaks by #AirNewZealand for #UnitedAirlines and #BrusselsAirlines
15,2019-02-12 01:06:12,#AirNewZealand flight to #Shanghai turned away on #Taiwan reference: Stuff https://t.co/4XTH3ZpxRJ https://t.co/oSP6H830jA
16,2019-02-12 00:58:59,#AirNewZealand flight to Shanghai turned away on #Taiwan reference: Stuff https://t.co/YwSo2zmioX https://t.co/hzOF6zfTEl
17,2019-02-12 00:58:57,#AirNewZealand flight to #Shanghai turned away on #Taiwan reference: Stuff https://t.co/OIf3o0XEQf https://t.co/u80dzQXzkP
18,2019-02-11 15:57:05,Air New Zealand flight to China forced to turn back for not having permission to land  https://t.co/u2cc8G8hjj via @ChannelNewsAsia #China #AirNewZealand #flight #refused #travel #permission
19,2019-02-11 11:11:46,Registration mistake turned back #NewZealand flight to #China  #AirNewZealand #JacindaArden #Beijing #HuaChunying  https://t.co/oMU9u4GuRl https://t.co/AqpwtYsVzP
20,2019-02-11 06:50:53,Nothing like a bit of sea fog (I assume... happy to be corrected) to create interest on the landscape #20000feet #AirNewZealand #headinghome #southisland https://t.co/JRfnn0Va3w
21,2019-02-11 05:09:54,Paperwork snafu causes Air New Zealand China turnback. #aviation #AirNewZealand #trtaveler https://t.co/TCica7ZDD7
22,2019-02-11 03:23:22,The curious case of the #AirNewZealand flight to #China that was denied permission to land in #Shanghai... https://t.co/NZhtKe0FUa https://t.co/ZwVEPmrkjo
23,2019-02-10 21:31:19,"#AirNewZealand says sorry for flying passengers in a brandnew Boeing Dreamliner halfway (almost five hours) to China before heading back to Auckland in another almost five hours, due a regulatory issue.   https://t.co/UFZ6uPJVYp"
24,2019-02-10 21:02:53,Our “bus” today. Air travel in NZ makes you think how easy things used to be before... jerusalemquartet adamchambermusicfestival #airnewzealand #nelsonnewzealand #quartetontour https://t.co/22l6lHnNhA
25,2019-02-10 20:44:08,"@nzherald Low quality, lack of customer service, lack of respect to customers, negligence, rude flight attendants, you name it. People are experiencing a lot if these! I will do my best to avoid this air line. #airnz #AirNewZealand #customerservice"
26,2019-02-10 08:43:42,Nice to arrive at your destination... Once again shame my suitcase didn’t!!! Thank you air New Zealand!!! #airnewzealand #airnewzesland✈️ #airnz @airnewzealand @air_new_zealand
27,2019-02-10 07:50:16,https://t.co/ZAZEo8diAZ Only with #airnewzealand
28,2019-02-10 05:29:27,#luarnegara Air New Zealand flight to Shanghai forced to turn back after several hours because it did not have permission to land #airnewzealand #china
29,2019-02-10 04:45:00,#FlightNZ289 carrying about 270 passengers left #Auckland shortly before midnight on Saturday only to return about 10 a.m. on Sunday (2100 GMT Saturday). #AirNewZealand #China #Shanghai  https://t.co/bSYLotzXgP
30,2019-02-10 04:00:38,#AirNewZealand flight forced to return to #Auckland after being denied landing in #Shanghai https://t.co/nOCJqqpLNo https://t.co/ttBt3HIaOj
31,2019-02-10 03:03:23,"Air New Zealand, Boeing 777-300ER #airnewzealand #boeing #boeing777 #airlines https://t.co/VlDUmrhWk6"
