Date,Tweets
2019-02-06 12:56:16,I guess even #indigo @IndiGo6E got tired of printing and emailing my boarding passes to me when their technology system is down and not letting me view the boarding passes . https://t.co/6QhgyEOSGj
2019-02-06 13:18:23,#indigo @IndiGo6E  is there anyone who actually can sort customer problems ? I booked a Kolkata Lucknow flight via the application . My money was deducted but NO PNR. I called the customer service twice and was assured it would be sorted. Nothing has happened and now flights full
2019-02-06 13:33:19,@jetairways Guys - how can you simply cancel flights last minute and not make any alternate arrangements - still call yourself 7/7 on customer service? Is it all sarcasm? #poorservice #jetairways #flightcancellation #sarcasm
2019-02-06 13:48:27,Air India passenger finds cockroach in the meal on Bhopal-Mumbai flight. The insect was in the sambar.   Airline apologies but no action yet #AirIndia #inflightfood #cockroach #
2019-02-06 13:50:22,Air India chief Pradeep Singh Kharola has been appointed Civil Aviation secretary as part of a minor bureaucratic reshuffle effected on Wednesday #AirIndia @MoCA_GoI #pradeepsinghkharola #aviationinindia
2019-02-06 13:55:57,Details are the difference between good stuff and great stuff. . . #handembroidery #denimlove #denimart #indigo #jeansrepair #denim #jeans #streetstyle #design #inspiration #fashion #art #denimlove #handstitch #voijeans #brand #outfitoftheday #fashionphotography #lookbook #i… https://t.co/EsAZ23KqX5
2019-02-06 13:56:44,"Air India's first flight simulator, Boeing 747-200, at Nehru Science Centre, Worli, will be open for the public soon: Times of India #flightsimulator #airindia #Aviation #mumbai #nehrusciencecentre"
2019-02-06 14:00:58,#SingaporeAirlines aims for world leadership in #digital with #innovation lab via @travolution  #tech4travel #traveltech #airlines #travelindustry #travelmassive  https://t.co/G5zRLHCTZK https://t.co/hPcsaHmMAG
2019-02-06 14:05:40,"Wednesday morning. Reading maybe? Visit my website for The Musician, The Actor and The Drive In at https://t.co/y15aZPjjkS and discover someone else's world inside you #WednesdayWisdom @gusttavoluiz_jr #readingforpleasure @Canadian_Devin #Toronto #BestSellers #Amazon #indigo https://t.co/wZlXtWD0Mr"
2019-02-06 14:13:06,@IndiGo6E We really really really   really     really     really    really  really really really really really really really really   really     really     really  really want to know why #IndiGo staff are so arrogant &amp; even manhandle passengers?
2019-02-06 14:14:56,@IndiGo6E We really really really   really     really     really    really  really really really really really really really really   really     really     really  really want to know why does #IndiGo loot pax by overpricing onboard snacks? 3X price for 1/2 qty?
2019-02-06 14:23:37,Fantastic airline @easyJet #easyJet #ManchesterAirport https://t.co/htxBloJZqq
2019-02-06 14:27:30,"@EtihadAirways has partnered with some of the city’s leading attractions, securing some huge savings and special offers that are accessible simply by showing your boarding pass, which becomes the Extraordinary Abu Dhabi Pass. https://t.co/zpi7KwSMdv #AbuDhabi #etihadairways https://t.co/0mvFgfPDRq"
2019-02-06 14:32:46,"This week in Barcelona: Great meetings and fruitful workshops with clients, partners and investors -- Iberia becomes an important market for Digitorney. Further details to follow shortly. #blockchain #legaltech #spain #barcelona #iberia https://t.co/NLgeXmtXEm"
2019-02-06 14:37:12,Mishandeling of luggage by airindia flight AI A144 from bombay to delhi landed at 7:00 still waiting for luggage at delhi airport....... poor service bad flight ...... sheer harrasment missed my train..... wrst service..... @narendramodi  @Ashok_Gajapathi @MoCA_GoI #Airindia
2019-02-06 14:41:58,True Love is Indigo!  #indigo #blue #truelove #gorgeous #cup #tea #coffee #mug #design #indiandesign #home #homeware #kitchen #dinnerware #gifting #giftingmadeeasy #bliss… https://t.co/njnxhsIjpI
2019-02-06 14:47:05,When @ThreeUK say your bags will come out first and they're nowhere to be seen 🤦🏻‍♀️#easyjet #Geneva #fail
2019-02-06 15:03:23,Fly forever! 😍  #Kolkata #wednesdaythoughts #ValentinesDay #love #travelblogger #Travel #travelphotography #TravelTheWorld #inthemood #Happiness #airtravel #flightdelay #flights #FLYHIGHER #flystyle #airplanes #goair #India #IncredibleIndia #Timeless #ThisMorning #mylife #phone https://t.co/RPk3daiNZb
2019-02-06 15:05:07,How in the actual....?!! How do you... Just...wow.. #GoAir @goairlinesindia #A320 #TooClose #CloseCall https://t.co/ALbdvzMrxp
2019-02-06 15:09:12,😈 'Aura Of The Trees' 😈 Out Now All Platforms Link In Bio 💜 || #AuraOfTheTrees #Indigo #Genes #Gothic #Aura #Purp #IndigoAura #Gothica #Art #Revolt #Alternate #Wave #IndigoWave… https://t.co/ehsIMRAwlz
2019-02-06 15:24:19,@easyJet A320 landing at Madeira: https://t.co/likPXj78v4 #easyjet #fnc #spotting #airbus #aviationphotography https://t.co/El0pXkmJWk
2019-02-06 15:25:01,Good morning!😊 chrisbrownofficial #cbreezy #chrisbrown #teambreezy #indigo #indigoseason https://t.co/D1fENxt3wt
2019-02-06 15:26:22,"Etla, 2019. Oil and Natural Indigo on Polyester.  Mapping the #stars, mapping our #lands ...  #LA #Hollywood #aztlan #clouds #art #painting #indigo #memories #history #traditon… https://t.co/Cc2zvnLUo1"
2019-02-06 15:26:43,A private airline @IndiGo6E is likely to start its air service from #Nashik under second phase of Regional Connectivity Scheme (RCS) from the first week of April. #IndiGo #NashikAirport #OzarAirport #Maharashtra https://t.co/BiGrNjPfSl
2019-02-06 15:37:34,"Wednesday reading? Visit my website for The Musician, The Actor and The Drive In at https://t.co/y15aZPjjkS before you choose your next book #Wednesday @SHK240 #readingrocks @GlintingSoul #Halifax #BestSellers #Amazon #indigo #readinglist #grateful #BREAKOUT #books #foryou https://t.co/2FLmq3HVTA"
2019-02-06 15:37:58,#finally #mounted the two #important #specimens of my #gujarat #textile #collection To the #left is #silk #thread #dyed with #natural #indigo and to the #right is #blockprinted #ajrak… https://t.co/5jJP7QKxIr
2019-02-06 15:43:24,#SaultSteMarie get ready for #ValentinesDay with #Coles in the Cambrian Mall! Add a greeting card to any purchase and get the chance to win 5% to 100% off of your purchase!   #indigo #chapters #books #ssm #amreading #bookwork #booklove #reader #ilovereading #amwriting #valentines https://t.co/0upw9CLbFw
2019-02-06 15:44:04,Feeling #blue ? Try #mood #indigo - https://t.co/BKVRDurcHb  #pantone by #redlandlondon #backpack #holdall #luggage #colourblock #colourblocking #blu #bluehair #bluenails #allblue #allblueeverything #fashion #london #design https://t.co/6JLN4yhVaR
2019-02-06 15:46:32,It's long but I won't apologize for it! :-) Blame the @ReadersFavorite #reviewer. :-) I actually thank Lesley Jones: love her review &amp; considering this #book on #introverts 'a must for any #school #library' ... for #extroverts as well! #Amazon #AppleBooks #Kobo #Indigo #Nook https://t.co/VGlRjJpN3r
2019-02-06 15:48:04,"@IndiGo6E has won the bid to operate on Nashik-Bangalore, Nashik-Bhopal and Nashik-Hindan routes under the second phase of RCS. #IndiGo #NashikAirport #OzarAirport #Maharashtra"
2019-02-06 15:54:11,"Last Saturday we had our first call into Malaga. This makes her, besides Barcelona, Setubal and Santander the fourth Iberia portcall into our West Med trade with direct weekly connection to the UK! #Malaga #EML #Iberia https://t.co/7JWQYOfrbe"
2019-02-06 15:57:12,"My traveling partner from #Delhi to #Kolkata and return, amazing food and service @airvistara made my trip memorable #EpicTruth #ChefTraveller #KolkataDiaries #Vistara https://t.co/6r3T6JsmDS"
2019-02-06 16:00:38,@jetairways PNR KUVCJL and NAONQB for flight 9W394 10Feb19 from DEL to ATQ is cancelled due to operational reasons. Last moment cancellation by jet airways. Please tell how to travel now ? Kindly arrange in alternate flight for the same. #jetairways #flightcancelled
