,Date,Tweets
0,2019-02-16 05:18:36,#TravelNews – From March 2019 #AirIndia is all set to launch a direct flight service to #Delhi and #Guwahati from #Aizawl. https://t.co/11mWOaE0rY
1,2019-02-16 04:15:12,Two more #AirIndia flights to link #Aizawl. This is a welcome news provided the same is implemented sooner than later https://t.co/DP1PsWGtvE
2,2019-02-16 03:49:44,Yet again #airindia proves to be the worst airline in today’s time. More than 50 passengers were denied boarding AI 31 from Mumbai to Ahmedabad as the flight was full they said. This means they are now playing “ first come first basis “.  #shameless #airindia #donotflyairindia
3,2019-02-16 02:55:50,@AnshumanThakur_ @the_hindu LOL! Dumbheads like you should give an occasional thorough work out to your knowledge of facts. Selective &amp;incomplete approach to rid corruption has been a norm. That's why #Vadra #chidambaram are still out of Jail. And nobody talks of #PrafulPatel of #AirIndia corruption fame
4,2019-02-15 20:10:00,"Effective April 05, 2019 @airindiain express will start additional flight on Friday on Kannur-Doha sector bringing the total operations to 5 per week. #AirIndia #AirIndiaExpress #avgeek @IndEmbDoha @GulfTimes_QATAR @Qatar_Tribune @qatarday @qatarliving @MarhabaQatar @DOHA_Insight https://t.co/VtQO2Dq16k"
5,2019-02-15 17:57:05,@Darryl__J Probably this is the reason #AirIndia is not the preferred airline @airindiain
6,2019-02-15 17:32:28,"Flight AI774 is yet to take off from Mumbai for Kolkata. Delayed over 2 hours. Unique problem: no crew. At this moment, as angry passengers surround the lone #AirIndia representative, it's actually quite entertaining."
7,2019-02-15 17:12:03,"@airindiain flight AI 774 BOM to CCU delayed by 3 hours without any reason. No ground staff to inform any reason .Some saying cabin crew not arriving, some saying plane. Passengers getting agiated for such pathetic  service. Now that's why Maharaja has lost its crown. #AirIndia"
8,2019-02-15 16:58:42,#airindia can you serve us our food? Been sitting in the flight which hasn't moved since the last 121minutes AI 101 Bombay to Delhi Make India Fool Again?
9,2019-02-15 16:30:39,@TheSanjivKapoor #thankyou for the #retweet you have a good airline  with the #JRD #Airindia written all over it #interesting #congratulations
10,2019-02-15 14:24:10,Lohani assumes charge of Air India #AshwaniLohani #assumes #charge #AirIndia #PradeepSinghKharola #AirIndiaCMD #RailwayBoard  https://t.co/TMukR1Zs4Q
11,2019-02-15 13:27:07,"#airindia My flight AI697 to Trivandrum due to fly at 18:25 is still grounded. Waiting since last 30’, apparently the copilot couldn’t turn up on time. This is the best example of unprofessionalism or rather one of your worst!!!. #waytogo"
12,2019-02-15 12:39:34,@BabubhaiVaghela @PMOIndia @DasShaktikanta @RBI while #Government is unsuccessfully trying to revive a sick #Airlines @airindiain. Don't understand the logic. Want to sell #AirIndia but invest in @jetairways What an idea sirji? #avgeek #Avgeeks @TheOfficialSBI
13,2019-02-15 12:11:13,#Ashwini_Lohani is New CMD of #AirIndia https://t.co/EpLz0GLxst https://t.co/oXn3ll81dY
14,2019-02-15 12:11:10,#Ashwini_Lohani is New CMD of #AirIndia https://t.co/uD5mrRBGVB https://t.co/nUITTRho0E
15,2019-02-15 12:11:03,#Ashwini_Lohani is New CMD of #AirIndia https://t.co/4cu6AgW6S5 https://t.co/pXboUvuDvW
16,2019-02-15 12:10:52,#Ashwini_Lohani is New CMD of #AirIndia https://t.co/zz2v8i2Kdb https://t.co/qs8VC1U9C2
17,2019-02-15 11:51:06,Retired technocrat Ashwani Lohani took charge as the chairman and managing director (CMD) of #AirIndia on Friday. https://t.co/JfVPA4FKqI
18,2019-02-15 11:34:43,Kabal media did this during Kandhar #AirIndia #Hijack RT @KanchanGupta: Who will tell eyeball-hungry media in #India that broadcasting footage or printing photographs of mourning families and inconsolable widows and orphans is precisely what jihadists want? This is oxygen for ...
19,2019-02-15 10:08:51,Retired technocrat #AshwaniLohani took charge as the chairman and managing director (CMD) of #AirIndia today  @airindiain  https://t.co/XCwHVdH5um
20,2019-02-15 09:55:16,Ashwani Lohani takes charge as CMD of Air India. https://t.co/z2NQsQRRoM #AirIndia #AshwaniLohani
21,2019-02-15 09:37:34,"Dear @airindiain ,  As per my booking your flight timing is 15:00 today. I'm still wandering about the status of my flight 91 628 Indore to Mumbai. Atleast maintain some professionalism related to your job.   #airindia #alwayslate #worstflightservice"
22,2019-02-15 08:00:10,Ashwani Lohani Appointed Air India CMD #airindia  https://t.co/GWQKsHQjGr
23,2019-02-15 07:26:00,Air India resumes flights to Iraq after a 30-year gap and flew Shiite pilgrims from Lucknow to the city of Najaf   #airindia https://t.co/Xi6JJm3ZZA
