,Date,Tweets
0,2019-02-16 02:13:14,Landed in dubai and flying since 5am this morning #allnipponairways #flightsimulatorx https://t.co/qWGvvYwLOw
1,2019-02-15 12:37:52,Congratulations on the 50th anniversary of the first flight of the jumbo jet. #ana #allnipponairways #itami #itamiairport  #boeing #whyilovethe747 https://t.co/qj2d036m0d
2,2019-02-14 23:14:17,Good Morning  #AllNipponAirways #全日本空輸 #boeing777 #全日空 #anaofficialprecisionmodels #ColorAround #ColorAviation #JA789A #anastarwars #flyana #anajetmodel #aircraft #BB8 #starwars #aviation #boeinglovers #aviationlovers #飛機模型 #bb8jet #星際大戰 #Japan #日本 https://t.co/2HlGi2feYS
3,2019-02-14 16:29:37,[VIDEO] First ANA A380 takes to the skies // The Flying Turtle  Watch here =&gt; https://t.co/d2d2DE8bh9  #ANA #A380 #Airbus #AllNipponAirways #YouTube #aviation #planespotting #Japan #Aircraft https://t.co/bGpWfWhefW
4,2019-02-14 16:25:57,First ANA A380 takes to the skies // The Flying Turtle https://t.co/d2d2DE8bh9  #ANA #A380 #Airbus #AllNipponAirways #YouTube #aviation #planespotting #Japan #Aircraft
5,2019-02-13 19:26:22,"A lovely Japanese couple. Shot taken at an observation deck of #HanedaAirport (Terminal 2) 😍🤟  Dated, 25.01.19  #ValentinesDay #ValentinesDay2019  #ANA @FlyANA_official #AllNipponAirways #Boeing #B787 #Boeing787 #Dreamliner @Boeing @BoeingAirplanes #Tokyo #Japan https://t.co/fchr2M9YLX"
6,2019-02-13 16:29:12,[VIDEO] The Flying Turtle // Brand-New ANA Airbus A380 // Final Ground Tests  Watch here =&gt; https://t.co/YEAsS0rO1i  #ANA #A380 #Airbus #AllNipponAirways #YouTube #aviation #planespotting #Japan #Aircraft https://t.co/bJEhkCnJpB
7,2019-02-13 16:05:01,The Flying Turtle // Brand-New ANA Airbus A380 https://t.co/YEAsS0rO1i #ANA #A380 #Airbus #AllNipponAirways #YouTube #aviation #planespotting
8,2019-02-13 11:47:30,ANA Star Alliance B767 vs B787  #Hongkong #ANA #flyana #AllNipponAirways #全日本空輸 #全日空 #ja899a #JA614A #Aircraft #HongKongInternationalAirport #dreamliner #飛機 #香港國際機場 #VHHH #staralliance #星空聯盟 #aviationphotography #coloraviation #coloraround #japan #日本 #航空機 https://t.co/xACPz3Gp4A
9,2019-02-12 21:33:19,Congratulations #allnipponairways !! #revistadeviajesonline https://t.co/wsCVvX2L8S
10,2019-02-11 15:33:33,Flying once again with one of my favourite airlines.  . . . #ANA #allnipponairways #lifeinjapan #discoverjapan #shifteast #japantravel #eyefortheworld #cuentojaponés https://t.co/ZrGMwQ51p8
11,2019-02-11 08:34:21,Drunk pilot taken off American Airlines plane before take off https://t.co/sMO2NtYETf #WorldTravel #TravelNews #AmericanAirlines #Aviation #AviationNews #AllNipponAirways #JapanAirlines https://t.co/QPns1fg62Y
12,2019-02-09 10:47:45,Happy birthday Jumbo!! We will never forget. #WhyILoveThe747 #itm #allnipponairways https://t.co/uwGNubUkq3
13,2019-02-08 05:33:39,Tickets for ANA direct flight between Tokyo and Perth go on sale https://t.co/YiJGlMzwMG @FlyANA_official @WestAustralia @PerthAirport @TC_WA #perthnews #Tokyo #newflight #airlinenews #flightnews #ANA #AllNipponAirways #WA #Perth https://t.co/t57iDjacy0
