,Date,Tweets
0,2019-02-16 02:26:56,Op-Ed: @cathaypacific #CathayPacific finally vindicated for its #Airbus #AirbusA380 #A380 decision https://t.co/Tt8naQZczm https://t.co/VEGRbUgJkz
1,2019-02-16 01:00:49,$853* &amp; up -- Fly to Southeast Asia from Seattle on Luxe Airline (R/T) https://t.co/k1bgEsVuPb #sea #rgn #cathaypacific https://t.co/13cHgFoLvV
2,2019-02-15 15:01:05,$853* &amp; up -- Fly to Southeast Asia from Seattle on Luxe Airline (R/T) https://t.co/k1bgEsVuPb #sea #rep #cathaypacific https://t.co/viX3DFcmYF
3,2019-02-15 13:26:34,Flying home! @AudreyLam2019 and I enjoyed the #noodles and #dimsum at the @cathaypacific #Lounge at @ChangiAirport #Singapore #cathaypacific https://t.co/baQqNqv36P
4,2019-02-15 11:19:29,A trip around the Pacific Rim – Introduction #travel https://t.co/gBnQNdlmr4 #asia #california #cathaypacific #hongkong #jal
5,2019-02-15 01:07:33,"New yoga and meditation space at CX lounge #yogaspace  #cathaypacific #pier #oneworld #lounge #airport #instatravel #travelgram #hkia #hongkong #airportlounge @ The Pier,… https://t.co/IDKSxD2Lba"
6,2019-02-14 22:37:49,Really looking forward to this trip to Hong Kong! How exciting!  #hongkong #cathaypacific #asia #fly #flying #ilovehongkong https://t.co/W4PxhomxGx https://t.co/B76ITixEFj
7,2019-02-14 22:04:10,Really looking forward to this trip to Hong Kong! How exciting!  #hongkong #cathaypacific #asia #fly #flying #ilovehongkong https://t.co/pJkZk7oyBg
8,2019-02-14 21:30:17,"Win a £1,000 #CathayPacific holiday voucher (ends 28/2) https://t.co/QHfE61WOx3"
9,2019-02-14 21:27:48,"@DeptRCD @MichaelRingFG #SusanHayes_: '""The direct flight from #Dublin to #HongKong with #cathaypacific #HKIWSC will be transformational"" says Brendan Foster #GrantThorntonIE .. #DubCham #EENIreland .. #entirl_china #hktdc #InvestHK https://t.co/wcfpA0mSNW' (11:29 am - 22 Mar 2018)"
10,2019-02-14 20:01:04,$853* &amp; up -- Fly to Southeast Asia from Seattle on Luxe Airline (R/T) https://t.co/k1bgEsVuPb #sea #cmb #cathaypacific https://t.co/fSGi1rl63J
11,2019-02-14 13:00:57,$853* &amp; up -- Fly to Southeast Asia from Seattle on Luxe Airline (R/T) https://t.co/k1bgEsVuPb #sea #bkk #cathaypacific https://t.co/xYqwt2QWlX
12,2019-02-14 12:57:15,@cathaypacific ur service is pathetic !! Am booked for Mum Mel and cant even block seats ! #terrible #CathayPacific @cathaypacificIN
13,2019-02-13 18:38:27,The closure of @cathaypacific's #Toronto base means 120 flight attendants will lose their jobs: https://t.co/xCz2f6vp2V @CUPEOntario #CUPE #Local4088 #cathaypacific @cathaypacificCA @TorontoPearson https://t.co/nOrtmFXeRR
14,2019-02-13 18:25:09,"@cathaypacific @cathaypacificCA I'm looking to inquiry about my flight from Toronto to Hong Kong, I've been waiting on hold for a an hour #cathaypacific #flights"
15,2019-02-13 14:38:17,Layover in HONG KONG best Airport I like #CATHAYPACIFIC Enjoy my journey best airline https://t.co/LVfTGydCDo
16,2019-02-13 12:55:33,4 years ago. Happy Valentine's day Murinna! 👋 Sekadar throw back je mampu.  #singaporeairlines #sq #SIA #cathaypacific #cx #CPA #worldbestairlines https://t.co/nhDBQcUlj3
17,2019-02-13 12:02:21,"Exclusive Flight Deal to #Philippines  Enjoy a 5⭐️ service &amp; comfort on-board on your way to #Manila, #Cebu, or #Clark. Departure dates:  Feb 20 - Mar 26, 2019, OR  Apr 21 - Jun 26, 2019, OR  Aug 21 - Dec 06, 2019 Call us at  0203-137-3050 to get your  #CathayPacific deals today! https://t.co/DNuVVddIcI"
18,2019-02-13 08:36:01,"Fly with moxes and my favo platinum players card (accidentally left a couple of them at home....yes that’s you, you, and you) Again I get ready to enjoy the HKG-JFK flight. See you in #mtgMem #cathaypacific https://t.co/Q6MQSoNOpR"
19,2019-02-13 06:30:22,Flying out of Singapore with @cathaypacific? BTAsiaPacific editor @Michael_K_Allen goes through what you can expect on your visit to the #CathayPacific Lounge at T4 https://t.co/nDusqF6oPf #businesstravel #airportlounges #travel
20,2019-02-12 20:10:10,#Repost Cathay starts their meal service right. #cathaypacific #champagnewishesandcaviardreams #lifewelltravelled https://t.co/0u4mNFNlAt
21,2019-02-12 13:03:04,Cathay joins ranks of airlines looking to cash in on passenger health https://t.co/xciZka8pbY #qvovadis #toureast #cathaypacific
22,2019-02-12 12:41:15,In this early morning shot we have @cathaypacific @Airbus A350-900 crossing the @NATSManchester tower prior to touching down on 05L @manairport   #AvGeek #aviation #airbus #A350 #Manchester #Manchesterairport #lifewelltravelled #cathaypacific https://t.co/C20D56L7Nf
23,2019-02-12 07:18:27,Does premium economy on @cathaypacific's #A350-1000 improve upon the offering on its older aircraft? BTAsiaPacific editor @Michael_K_Allen reviewed a flight from Singapore to Hong Kong to find out https://t.co/v8P9h5AEZA #businesstravel #travel #airlines #cathaypacific
24,2019-02-12 03:06:58,#CathayPacific to Close #CabinCrew Base in #Toronto https://t.co/RSPDfn9gLZ
25,2019-02-12 02:25:46,Found out that my @CathayPacific credit card charges you $95 fee in the first month. Card is issued by @synchrony #DoNotGetThisCard #TotalRipOff #cathaypacific #SynchronyBank #Crooked
26,2019-02-11 18:00:10,@cathaypacific and luckily now that I can get wifi on board I can just tweet all 11 hours of this flight. Yay? #cathaypacific #cx250
27,2019-02-11 17:59:20,"@cathaypacific omg your pillows are so dirty. This is what happens when you cut cleaning services in an attempt to cut costs, but it's backfiring! #dirty #notclean #cathaypacific #cx250 https://t.co/Ly4HdLds9x"
28,2019-02-11 17:57:19,A Cathay Pacific A350 being towed at SFO! Cathay Pacific @cathaypacific @cathaypacificUS #CathayPacific KSFO @flySFO #SFO #SanFrancisco  B-LRN @Airbus @A350_Production @A350Blog @A350fans #Airbus #A350-900 MSN: 085 21/07/18 #planespotting #avgeek #aviation #aviationlovers https://t.co/5Q9MzAd278
29,2019-02-11 17:48:01,@cathaypacific how come you expect passengers to close overhead lockers on flights? Esp asking a passenger who I just witnessed PICKING HIS NOSE and now probably has another all over the handles of the overhead lockers #cx250 #nasty #cathaypacific
30,2019-02-11 14:21:58,Yes CX @cathaypacific @yvrairport may not have the luxury of the Bar and Showers on the A380 but the soft product remains solid. #cathaypacific #livewelltravelled https://t.co/IgAy9pKOZk
31,2019-02-11 13:32:12,"#CathayPacific #Airbus #A333 #A330 is seen stowing its gear as it departs for Hong Kong, regn: B-LAF #changiairport #airbuslovers #avgeek #aviation #airplane_pics #airplane_pictures… https://t.co/z1aTfJz7yp"
32,2019-02-11 13:25:19,#CathayPacific introduces #airport yoga and joins airlines embracing wellness  https://t.co/lmvnms0AvR
33,2019-02-11 12:53:44,"Can you tell us where these pigs are? 🐷 We are giving away 10 #cathaypacific pigs, to celebrate Chinese New Year and the year of the pig! To win, simply Comment below where you think the piggies are taking a selfie Terms apply, please visit: https://t.co/tG5EAbGa16 #globetrotter https://t.co/FdkkvGJ3K8"
34,2019-02-11 12:44:06,@maureenchuck1 @MichaelPascoe01 @Qantas @VirginAustralia @cathaypacific That’s just #ridiculous ... and #Cathaypacific provides way better #service too! #qantas #expensive #average #whybother
35,2019-02-11 12:25:47,"Wаnt sеe me nude? Dоn't be shy, write  -&gt;&gt;&gt; https://t.co/ho08ECymxC ☑  #cathaypacific #londoner  even to https://t.co/CHbyKRdeQI"
36,2019-02-11 11:40:42,Preflight ritual commencing. It’s been a busy 10 days in Manila for CNY - back to work tomorrow! #TheatreGeek #ManilaCNY2019 #MoreFunInThePhilippines #cathaypacific https://t.co/5VrB1RmVGw https://t.co/GmOXxV7A6k
37,2019-02-11 10:48:21,Preflight ritual commencing. It’s been a busy 10 days in Manila for CNY - back to work tomorrow! #TheatreGeek #ManilaCNY2019 #MoreFunInThePhilippines #cathaypacific @ Cathay Pacific First… https://t.co/6PPSlcrqob
38,2019-02-11 09:04:34,Fly to Melbourne with Cathay Pacific 😍✈️ Book Before : 31st Mar 2019 Travel Before : 31st Dec 2019 #cathay #cathaypacific #melbourne #colombo #australia #srilanka #nkartravel #offer #ticket #airfare #fare #book #nkarbooking #specialfare #nkar #deal https://t.co/6gTWEZv9Ly https://t.co/8rKgKNraAp
39,2019-02-11 07:24:32,#CathayPacific #國泰航空公司 | #CathayPacificAirways #OriginalSeries #FoodCulture adventuring in #Taipei #MustEatDishes #FoodItinerary – featuring photographer @PhoebeMiu https://t.co/ggIQJqjh1T https://t.co/O9jNPUrZBu
40,2019-02-11 01:38:40,the worst performance ever from an otherwise fine airline #cathaypacific
41,2019-02-11 01:00:37,$689* &amp; up -- New Routes: Asia From Seattle on 5-Star Airline (Roundtrip) https://t.co/V0C57ghYus #bkk #sea #cathaypacific
42,2019-02-10 21:30:56,Review: Cathay Pacific #Boeing #B777 Business Class Hong Kong to Beijing #avgeek #airlines #aviation #cathaypacific #businessclass https://t.co/n341lF1S7w
43,2019-02-10 13:26:24,Signature #airplane turns old #Aircraft #airline #aviation #panam #CathayPacific #BritishAirways #Boeing’s Iconic #747 Turns 50: A History in Pictures https://t.co/ylnW8xdrjL
44,2019-02-10 12:41:11,Fly back home✈️🧧☀️ @cathaypacific #CNY  #2019 #holiday #happiness #sisters #smile #voyage #joy #smile #yearofpig #goodstart #cathaypacific #jetsetter https://t.co/MXO0uZODxS
45,2019-02-10 10:30:54,Cathay 306 (B-LRQ - A359) of @cathaypacific lining up on 28 @DublinAirport as #cx306 to Hong Kong 09-02-2019  #cathaypacific #airbus #airbusa350 #a350 #dublinairport #aviation #avgeek https://t.co/B3eziOuBSz
46,2019-02-10 05:22:47,"Inefficient #Cathaypacific. For a jumbo jet full of people, there is only one boarding queue. That too fully random. No row/zone wise segregation.  #CathayPacific #HongKong"
47,2019-02-09 19:53:01,My few #photos of @Boeing #B747! 50 Years of first flight of iconic #QueenOfTheSkies  #WhyILoveThe747 #avgeek #50YearsOfTheQueen #aviation #icon #technology #tech #BritishAirways #Lufthansa #CathayPacific #KLM #lotnictwo #50lat #Boeing747 #Jumbojet #4engines4longhaul https://t.co/7afkwcVzDq
48,2019-02-09 18:28:59,"#cathaypacific #horribleexp Price one pays for purchasing a BUSINESS class ticket for one's parents from Hyd, India-SFO CA? Go all the way to to SFO to validate the CC. This after Cathay Pacific promptly withdraws all the money! Don't question validity after taking the money!"
49,2019-02-09 15:42:23,The feeling when you are on a brand new @cathaypacific A350-1000 aircraft which is less than a week old. Fresh smell! #A350 #hongkong #cathaypacific #avgeek https://t.co/ob2iDjIIUt
50,2019-02-09 15:00:42,$689* &amp; up -- New Routes: Asia From Seattle on 5-Star Airline (Roundtrip) https://t.co/V0C57ghYus #bkk #sea #cathaypacific
51,2019-02-08 20:01:08,$689* &amp; up -- New Routes: Asia From Seattle on 5-Star Airline (Roundtrip) https://t.co/Puoj4Rug1N #bkk #sea #cathaypacific https://t.co/tONSQtYjSS
52,2019-02-08 16:21:48,"Happy Chinese New Year! We have had great fun guessing how many jets are in the jar! Thanks to @cathaypacificUK who have been celebrating today, it’s been great to meet all of your visitors 😀#chinesenewyear #yearofthepig #cathaypacific #hammersmith #manbrewharf https://t.co/7aqQ0VtXhf"
53,2019-02-08 15:44:01,#CathayPacific takes #tech and human approach to soft #product evolution https://t.co/UCyCh0DdmE https://t.co/VfnPfxv8vB
54,2019-02-08 13:10:43,The light of dawn shines upon the plane that flew over the South China Sea going to Hong Kong.  #cathaypacific #cathay #cathaypacificairways https://t.co/jwMwHhAM8L
55,2019-02-08 06:10:58,Part two at Cathay Pacific airport lounge - brand new #pureyoga lounge!  . . . . .  #travel #travelphotography #fitness #hkig #cathaypacific #lifestyle #cool #girl #goodmorning #passion… https://t.co/Tbv7d5fOqo
56,2019-02-08 04:40:05,"Egg waffles, tea and mahjong - together with the #HK7s - are all being celebrated by @cathaypacific https://t.co/uesCptsSqb.   What's your favourite thing about Hong Kong?  #HK7s #cathaypacific https://t.co/SvBEiVQZFv"
57,2019-02-08 04:15:02,Thanks for taking care of me Cathay Pacific! Love their live airplane cams!Now to enjoy a fun weekend exploring Singapore 🇸🇬 #travel #cathaypacific #asia #instagood #sobusy @ Singapore https://t.co/zSj2x0JFzb
58,2019-02-08 01:21:14,My favorite airport lounge at Cathay Pacific - rose champagne at 9am... Wait for part two! #travel #travelphotography #food #hkig #cathaypacific #lifestyle #cool #girl #goodmorning… https://t.co/110OtDdfC8
59,2019-02-08 00:00:05,"The ""brushwing"" logo which has adorned @CathayPacific's aircrafts since 1994 is literally meant to be a reminiscent of a Chinese brush stroke. So I decided to try and paint it on @psoftmobile_dev's #ZenBrush.  #avgeek #CathayPacific #CX #LifeWellTravelled https://t.co/xOeVnD70w6"
60,2019-02-07 15:03:05,#cathaypacific #wearecathaypacific #aviationphotography #aviationlovers #a350lovers #aircraft #airbus #a350xwb #aviation #flying #cockpit @ Washington Dulles International Airport https://t.co/MDy217gX4m
61,2019-02-07 14:54:53,#washington #airbus #a350xwb #cathaypacific #wearecathaypacific #aviationphotography #aviationlovers #a350lovers #aircraft #airbus #airport #pilotslife #flying @ Washington Dulles… https://t.co/ct5U6yqrAa
62,2019-02-07 13:00:42,$689* &amp; up -- New Routes: Asia From Seattle on 5-Star Airline (Roundtrip) https://t.co/Puoj4Rug1N #mnl #sea #cathaypacific https://t.co/uv2G5Ozo7M
63,2019-02-07 02:23:51,Is it worth paying the extra cash or miles to fly #premiumeconomy from Hong Kong to Singapore? BTAsiaPacific editor @Michael_K_Allen checks out @cathaypacific's product and service on its #A330 to find out https://t.co/eO0yDUbjI1 #BusinessTravel #Airlines #cathaypacific
