,Date,Tweets
0,2019-02-16 06:00:35,EASYJET FLIGHT+HOTEL CANARY ISLANDS HOLIDAY DEALS 👉 {https://t.co/VC4AMBzAbW} ||#easyjet #flight #hotel #canaryislands #wanderlustwednesday #traveltuesday #beachthursday #ttot #england #wales #ireland #scotland #AFF https://t.co/dQYudjCz06
1,2019-02-16 03:34:37,Beautiful view #travel #adventure #vacation #holiday #travelphotography #tour #tourism #flight #easyjet #trips #overseastravellers #nature https://t.co/DnwE5tmSbE https://t.co/lsiQjcSHnr
2,2019-02-16 03:15:30,"Book In Cannes, France 3🌟4🌟 5🌟 Hotels👉 {https://t.co/121uDwyG7v …} ||#cannes #france #traveltuesday #beachthursday #wednesdaywanderlust #Cannes2019 #CannesFilmFestival #CannesLions #canneseries #england #ireland #wales #scotland #london #easyjet #RyanairFlights"
3,2019-02-16 02:27:37,Maximize your EasyJet Experience https://t.co/0kkv7jNjv7 #airline #Travel #Easyjet https://t.co/mskFegjQc5
4,2019-02-15 22:58:15,@easyJet really enjoyed our flight today on EZY6939 to Kraków. The flight team of Ross and Lucy really made the flight a fun experience! Great service and good chats 👍🏼 #easyjet #krakow2019 @caroljanemassey
5,2019-02-15 21:54:41,"Why does #easyjet allow people to order so many alcoholic drinks on their planes?? Its not a pub, its transport. Drunk group of 50 year olds should know better with families on board. #Bristol to #Barcelona #drunk #badflight"
6,2019-02-15 19:15:05,Easyjet 7 Nights Flight+Hotel Beach Deals👉 {https://t.co/MpF0b5WvGq} from Bristol Airport||#londonislovinit #england #wales #ireland #scotland #easyjet #7nights #bristolairport #flight #hotel #beachdeals https://t.co/4LxXYzMuhk
7,2019-02-15 19:00:34,Easyjet 7 Nights Flight+Hotel Beach Deals {https://t.co/ecMU6E9jlI} from Edinburgh Airport||#londonislovinit #england #wales #ireland #scotland #easyjet #7nights #flight #hotel #beachdeals #edinburghairport #london https://t.co/digz0W6djG
8,2019-02-15 18:45:26,Easyjet 7 Nights Flight+Hotel Beach Deals👉 {https://t.co/rQiXtCewug} from Belfast Airport||#londonislovinit #england #wales #ireland #scotland #easyjet #7nights #flight #hotel #beachdeals #london #belfastairport https://t.co/6uHZUVNEag
9,2019-02-15 18:30:27,#Easyjet Flight+Hotel Holidays Sale More Info👉 {https://t.co/848gWRWCZN} ||#holidaydeals #summerholidays #london #England #Wales #scotland #ireland #majorca #algarve #crete #CostaDelSol #tenerife #costablanca #flight #hotel #discountcodes https://t.co/nt6GC5bigN
10,2019-02-15 18:15:15,Easyjet 7 Nights Flight+Hotel Beach Deals👉 {https://t.co/UAXFFq5ppJ} from Manchester Airport||#londonislovinit #england #wales #ireland #scotland #easyjet #7nights #flight #hotel #beachdeals #manchesterairport #london https://t.co/LxIIP7Rahc
11,2019-02-15 18:00:30,Easyjet 7 Nights Flight+Hotel Beach Deals👉 {https://t.co/UWOmceuF5Q} from #London Luton Airport #londonislovinit #england #wales #ireland #scotland #easyjet #7nights #flight #hotel #beachdeals #lutonairport #london https://t.co/MQVWFD9xII
12,2019-02-15 17:06:09,$EZJ #easyJet PLC EasyJet PLC – Proxinvest Corporate Governance Rating ® : A: Proxinvest Corporate Governance Rating ® helps investors integrate governance into their investment decision and identify governance risks and opportunities within their… https://t.co/8QYvugMEVk https://t.co/0wClo5jyDI
13,2019-02-15 16:14:49,What a view!! EasyJet A319 passing underneath the Sky Bridge at @Gatwick_Airport @easyJet 😍 #avgeek #gatwick #easyjet #aviationphotography https://t.co/feef0sHW93
14,2019-02-15 16:08:59,"@easyJet heaven forbid #Easyjet keep us informed, in case we decide to book via a serious client-focussed company #shouldhavegonetoAirFrance"
15,2019-02-15 16:07:48,Not a bad view of the Pyrenees Mountains on the way back this morning 😃👌🏔 #easyjet #mountains #snow https://t.co/ivFRtVljqb
16,2019-02-15 16:06:12,#easyjet app shows me as needing to board at CDG. The information panels tell me to board. I run to the gate.  Flight delayed an hour. When will #Easyjet do the de cet thing and accent that the are ALWAYS  late https://t.co/BxeTPMbvX0
17,2019-02-15 15:47:14,@KoreanAir_KE Cargo Boeing 777-200F holding short at the RWY while a @easyJet A320 Taxiing to RWY! 😍📸 #vie #loww #koreanair #boeing #b777 #easyjet #a320 #airbus #koreanaircargo @flughafen_wien https://t.co/pVC9vVdcGh
18,2019-02-15 14:01:58,35 days &amp; counting @FearlessFlyer99 @easyjet #fearlessflyer #flying #plane #easyjet https://t.co/rR4uVqJk2P
19,2019-02-15 13:35:24,Sunshine is bad weather for #easyjet and a reason for a flight to delay .#gatwickairport #Gatwick #passengers https://t.co/UtRdDHbPF7
20,2019-02-15 13:15:13,Package Holidays: Beach holidays+City breaks {https://t.co/Za9gUsiWYL } ||#easyjet #beachholidays #citybreaks #WanderlustWednesday #traveltuesday #beachthursday #london #england #wales #ireland #aff
21,2019-02-15 13:13:00,Read what could happen in the impossible circumstances that easyJet and Ryanair were to merge   #easyjet #rayanair #aviation #avgeek #aviationlovers   https://t.co/rpa8T0Jom8 https://t.co/nbayzOii4G
22,2019-02-15 12:30:42,"Whichever colour you choose, this weekend bag &amp; washbag set is a must. Compliant with British Airways &amp; Easyjet, its time to ditch the old sports bag &amp; bring on the style. https://t.co/RQfaDQZCwN #WeekendBag #MensBag #BritishAirways #Easyjet https://t.co/ccgSki53xd"
23,2019-02-15 12:03:49,"#Alitalia: children cry, mum is going to buy.  #Alitalia #MEF #Newco #Badco #Delta #Easyjet #Bankitalia via @sole24ore https://t.co/xIZcpkwlja"
24,2019-02-15 12:00:21,EASYJET Flight+Hotel 5⭐️ Luxury Beach Deals👉 {https://t.co/Za9gUsiWYL} ||#easyjet #flight #hotel #luxury #beachdeals #Londonislovinit #england #wales #ireland #scotland #traveltuesday #aff
25,2019-02-15 12:00:09,BOOK 7 NIGHTS FLIGHT+HOTEL DEALS FOR THE 72nd CANNES FILM FESTIVAL 2019👉 {https://t.co/DdF9BMbaWy} ||#cannes2019 #cannesfilmfestival #flight #hotel #cannes #london #england #ireland #wales #scotland #filmmakers #scriptwriters #directors #easyjet
26,2019-02-15 11:45:20,EASYJET Flight+Hotel #BankHoliday Deals 2019👉 {https://t.co/97Mihuz2hL} 19&amp;22April|6&amp;27May|26August||#easyjet #flight #hotel #london #londonislovinit #BankHolidayWeekend #bankholiday2019 #traveltuesday #beachthursday #england #ireland #scotland #wales https://t.co/Q9vAVDoZzS
27,2019-02-15 11:41:43,"Fly, baby...fly! 😀🇬🇧✈️🇫🇷 https://t.co/MPFO9suszv 🌍 #Travel #easyJet #Paris #France https://t.co/owKUH8MKnq"
28,2019-02-15 11:15:10,EASYJET Flight+Hotel School Holidays Deals 2019👉 {https://t.co/DvAQkkFFeY} ||#easyjet #flight #hotel #schoolholidays #holidaydeals #england #ireland #wales #scotland #traveltuesday #beachthursday #londonislovinit #london https://t.co/mCh6cSktDD
29,2019-02-15 11:00:32,EasyJet 7 Nights Flight+Hotel 4⭐️Beach Deals👉 {https://t.co/ouLsr6c1Lk} from London||#LONDONislovinit #england #wales #ireland #scotland #easyjet #7nights #flight #hotel #beachdeals #london https://t.co/mkJKSflTty
30,2019-02-15 06:00:54,EASYJET FLIGHT+HOTEL CANARY ISLANDS HOLIDAY DEALS 👉 {https://t.co/VC4AMBzAbW} ||#easyjet #flight #hotel #canaryislands #wanderlustwednesday #traveltuesday #beachthursday #ttot #england #wales #ireland #scotland #AFF https://t.co/dQYudjCz06
31,2019-02-15 03:39:06,Gorgeous view #travel #adventure #vacation #holiday #travelphotography #tour #tourism #flight #easyjet #trips #overseastravellers #nature https://t.co/WBkIoreIw1 https://t.co/yu1eaUp1sO
