,Date,Tweets
0,2019-02-16 00:30:44,https://t.co/v9YYUu06Y2 stay positive - work hard - make it happen #etihad #etihadairways
1,2019-02-15 17:33:10,Etihad Airways Restructures Aircraft Orders #EtihadAirways https://t.co/6OwZDFNeQx https://t.co/Cr9cKWYxuz
2,2019-02-15 15:02:21,Etihad Airways! @etihadairways They will fly tomorrow as scheduled.  Please be on time.  Thanks.  #travelnews #etihadairways #election https://t.co/9mh1Am7l9N
3,2019-02-15 05:54:19,"Sensex sheds 50 points, Nifty below 10,750; Jet Airways slips 2% #Nifty #JetAirways #AtlantaFedSlash #HeroMotoCorp #Vedanta #NTPC #PowerGrid #Infosys #EtihadAirways https://t.co/LJbCi6DbS5"
4,2019-02-15 04:35:28,https://t.co/v9YYUu06Y2 stay positive - work hard - make it happen #etihad #etihadairways
5,2019-02-14 12:21:57,https://t.co/1VPj6HEKrZ #Alitalia #Delta #easyjet  An interesting potential offer. Even #etihadairways weren't prepared to keep throwing cash at the airline.
6,2019-02-14 12:00:18,ICYM Abu Dhabi's #Etihad slashes $21 billion of Airbus and Boeing orders https://t.co/h0L7crKd4V via @technology #etihadairways @Layanmazenodeh
7,2019-02-14 09:50:21,"Saddened to hear Airbus decision to stop making the #A380. Not the most elegant aircraft flying, but still home to some of aviation's most ambitious and remarkable cabin interiors. #etihadairways Residence @FactorydesignUK https://t.co/b2q4xZDFx1"
8,2019-02-14 09:47:17,#etihadairways Delayed by 46 minutes...still no updates... when we are taking off
9,2019-02-14 08:35:07,https://t.co/v9YYUu06Y2 stay positive - work hard - make it happen #etihad #etihadairways
10,2019-02-14 08:04:40,A double-decker from Etihad! Airbus A380 to fly daily from Abu Dhabi to Seoul https://t.co/glHUGvR39h @EtihadAirways @AUH @IncheonAirport1  #Etihad #AirbusA380 #doubledecker #AbuDhabitoSeoul #EtihadAirways #TANFlights
11,2019-02-14 07:51:37,@AUHFlights thank you for updating me . What a fantastic service 🥰✈️ #etihadairways
12,2019-02-14 06:42:04,"Explore #Bangkok from £401, #HongKong £435, #Colombo £481 and many other destinations with #EtihadAirways. To find out more about these offers, call us on 0208 819 9853 (sale ends today). https://t.co/yZaoN7w1La"
