,Date,Tweets
0,2019-02-16 05:23:45,@goairlinesindia #goair after this experience do you really feel I will travel again by your airline. Also just because I posted this on social media you are apologizing but not a single crew member apologized. @AirlineReporter @sureshpprabhu @AviationSafety @AviationTimes action required.
1,2019-02-15 15:02:45,What a View!! Best seats ever. #GoAir buses are better. https://t.co/GWxmsKLqsb
2,2019-02-15 05:26:44,Due to bad weather conditions at #LEH flights to &amp; from IXL may get delayed. Check #GoAir flight status: SMS G8 &lt;space&gt; FlightNo to 57333. https://t.co/n600L4k10u
3,2019-02-15 01:44:46,"#JetAirways on verge of fallout. #Indigo cancelling flights. #AI maximum times needs bailout. #Spicejet had major issues in between, now seems to be ok. #GoAir only one without problems? What is happening to aviation industry all of a sudden"
4,2019-02-14 09:25:26,#goair app showing wrong status in the app ...the real departure is 1550.... https://t.co/YXZIiElAAJ
5,2019-02-14 07:42:07,#GoAir CEO Cornells Vrieswijk quits within 9 months of taking over the job. #BrandsAndLeaders #brands #leaders  https://t.co/qfAcsicYhi
6,2019-02-14 06:21:10,"#Vistara (@airvistara) flight UK 946 and #GoAir (@goairlinesindia) #flight G8 709, both, from Ahmedabad to Delhi diverted to Lucknow &amp; Jaipur resp. due to bad weather conditions.  Diversion of two other flights expected.  #Delhi #DelhiRains  @moneycontrolcom @DelhiAirport"
7,2019-02-14 04:20:13,@goairlinesindia @MoCA_GoI Still no response. Where is the support team? #GoAir
8,2019-02-14 04:06:14,#goair While boarding I fell coz of uneven surface and i was hurt but your crew members did nothing about it. I asked for first-aid 5-6 times but no response other than ignoring.But there was no first-aid.#G8-141 #PNR G7U1XJ @PMOIndia @OfficeOfNG @MoCA_Gol @sureshpprabhu
9,2019-02-14 03:49:26,Low cost carrier #GoAir said its Chief Executive Officer #CornelisVrieswijk has submitted its resignation and the board has accepted it.  Photo: IANS https://t.co/zErPnb3JPK
10,2019-02-14 01:35:01,"#goair it's not fare, I asked for window seat and you gave me just opposite seat 😏 Please listen to us properly from next time."
11,2019-02-14 00:14:16,@goairlinesindia Window seat without a window. #Perksoflowcostcarrier #pathetic #goair https://t.co/VJbVKv0Om3
12,2019-02-13 17:44:16,"GoAir on Feb 13 said its chief executive Cornelis Vrieswijk has resigned from the post within nine months, citing personal matters #goair #airline #aviation"
13,2019-02-13 16:50:00,"After joining @GoAirlinesIndia in June last year, Cornelis Vrieswijk resigned as GoAir CEO earlier today.  #AirTravel #GoAir   https://t.co/uYZbd5xGHb"
14,2019-02-13 16:49:42,"@goairlinesindia I boarded Go Air flight G8-319 on 12 Feb 2019. From the food menu, ordered Upma and paid for it. Found strand of Hair in it. Same was reported to the Air hostess.  No respite given. could not do anything at that time as had no option. #Goair https://t.co/ErEHmJyCWp"
15,2019-02-13 14:49:27,Lost the count or never kept it well on the number of CXOs the airline has seen Hoping that Cors liked India and goes back with pleasant memories #GoAir
16,2019-02-13 11:53:23,@goibibo Why are you guys not mentioning in your flight ticket email that I'll not be allowed to board the flight after 45 min prior to departure. I was not allowed to board the flight by just a margin of 2 min. Horrible experience  #goibibo #goair
17,2019-02-13 06:20:39,@goairlinesindia @MoCA_GoI Nobody contacted till now. Do I need to wait till all other flights are booked? Pathetic service #GoAir
18,2019-02-13 02:29:01,@goairlinesindia This is what you get the quality of air travel now a days? #Goair G8 395 Bangalore to Mumbai ..Such a disappointment https://t.co/Dzr8AsMe4h
19,2019-02-12 17:58:02,@goairlinesindia What a punctuality by #GoAir G8 292 from BLR to PNQ. Take off time was 2320 hrs and the Boarding time was 2240 hrs. But thanks to #GoAir Bengaluru Team our Boarding started at 2325 hrs. As good as Indian Railways 😂
20,2019-02-12 17:47:58,If the payment was received by @goairlinesindia I need an explanation why #GoAir forced us to by new tickets @ double the price &amp; if #GoAir indeed didn’t receive the online payment then why is @syndicatebank mailing us w/ screenshot of payment duly credited to #GoAir #goairfraud
21,2019-02-12 17:33:30,"@goairlinesindia First return ticket was bought 2 months prior to the travel @ ₹10k. A week before travel, as per #Goair #customercare, the never reached #GoAir &amp; hence bought another ticket for ₹20k. Now, as per @syndicatebank the merchant - #GoAir - received the payment."
22,2019-02-12 17:23:14,"@goairlinesindia as per @syndicatebank email dated 5 Feb 2019, #GoAir had duly received the payment of ₹10k while @goairlinesindia says it did not receive the payment. What’s going on really?"
23,2019-02-12 17:19:10,"@goairlinesindia After 4 months of back &amp; fro with @syndicatebank #GoAir HD written to the bank that they received the payment of tickets, for which 4 months ago #GoAir refused to receive payment &amp; forced me to buy tickets at double the price I bought a return ticket Del-IXR thru"
24,2019-02-12 16:01:46,"@goairlinesindia @MoCA_GoI Again talked with the call center agents, they are talking the same which I mentioned earlier. This is fraud. Can I get this escalated and talk to someone who can talk sense. #GoAir"
