,Date,Tweets
0,2019-02-16 05:12:21,Just got lucky with this #shot while in cab coming from #airport #aviation #aviationlovers #travellers #travelphotography #apple #iphone indigo.6e #indigo #travelgram #cinematography… https://t.co/NXbBSYJ4zr
1,2019-02-16 04:58:57,When #Indigo knows that they don't have enough pilots on-roll then why do they even allow bookings? A food for thought for #DGCA that seems to have ignored the serious issue of daily flight cancellations.  cc: @jayantsinha @MoCA_GoI @sureshpprabhu https://t.co/dAgj1pGIlf
2,2019-02-16 04:53:48,We are still in a day and age where the leading airline in a country of over 1bn can cancel your flights at no notice #indigo
3,2019-02-16 04:14:02,#its 🦇death **** That brings us all together //// 🦋/////^^   #Red #Orange #Yellow #Green #Blue #Indigo #Violet 🦁
4,2019-02-16 03:02:41,@Andrew007Uk #indigo ...Indicates national...But who knows you have a connecting flight from the other location 😊 Wishing you A Safe and Fun trip
5,2019-02-16 03:02:35,#iatphowcanihelp Proud moment for our Indigo employees. #torontopearson #airport #indigo https://t.co/uRoYB6zkrb
6,2019-02-16 01:55:46,New Mixtape Out Now Still Going Crazy🚨🚨🚨🚨🚨🚨🚨🚨 Listen to it on @SoundCloud  #Indigo #Indigoent #Indigoseason  📊📊📊📊📊📊📊📊📊📊📊 https://t.co/CokzWdwuDx
7,2019-02-16 01:44:18,Album Almost Ready 💫     • https://t.co/Nrv2TzW6Lx 💻 • #xxl #xxlmagazine #JordonEdward #lakersnation #indigo #zoned #cali #Lakers #pop #randb #liveinthemoment #mentalhealthawareness #spotify… https://t.co/A87zeNJlMY
8,2019-02-16 00:53:42,@IndiGo6E Horrible experience with 6E 7172. In flight for more than 1.5 hours at the airport. God knows when it’ll take off. Your staff are great. They know nothing. I have business meeting this morning at Calicut and I still waiting for the flight to take off #indigo
9,2019-02-16 00:42:59,Alchemy... https://t.co/LmZ0UsNhA8 #hairtwins #spiritspeak #alchemy #prayer #spirituality #mysticsonthemat #crystallized #skull #chemistry #science #wednesday #vibes #kundalini #indigo #moonchild #Driver_Publishing_Classics #moonphases #consciousness #alchemist https://t.co/krvp2WxgS7
