,Date,Tweets
0,2019-02-15 20:59:36,Japan Airlines' First A350 XWB Takes Shape in the Final Assembly Line #JapanAirlines https://t.co/IhtkIYdkLZ https://t.co/kAjobP1j2U
1,2019-02-15 12:12:40,"Finally in Japan!!! 😍😍😍 Been posting lots on IG Stories, sorry not sorry 🙈 It's so nice here ❤️ Thank you so much #japanairlines #flyJAL #getmorejapan (shot with the #fujifilmxt3) #Hokkaido https://t.co/XnxoQBnqKH"
2,2019-02-14 20:38:07,#JAL #B787 #Dreamliner departing rain soaked @SanDiegoAirport to #Tokyo #Narita https://t.co/QkuQsLWEbY #avgeek #aviation #travel #planespotting #SAN #NRT #SanDiego #airplanes #Boeing #JapanAirlines #planeporn #rain #patstravelreviews https://t.co/Qlg1XMggjl
3,2019-02-14 09:04:36,-----✈Happy Valentine's Day  #JTA #japantransoceanair #boeing737 #日本越洋航空 #sakura #ColorAround #ColorAviation #航空機 #400scale #JA05RK #JA06RK #jinbeijet #jinbei #JapanAirlines #love #kiss #aviation #飛機 #飛機模型 #Japan #日本 https://t.co/lGNEwmDSSk
4,2019-02-13 04:44:41,#JapanAirlines has expanded the booking window for international flights such that they can now be booked 360 days in advance https://t.co/zDYRPSdAFY #airlines #aviation #businesstravel
5,2019-02-12 23:09:02,"🇯🇵✈️ Did you know the First Class Sakura lounge in Tokyo Narita has a sushi chef? Pictured is the cod roe, grilled mackerel and salmon canapé, and in the second image, maguro (bluefin tuna), shrimp and rolled egg sushi. #airportlounge #japanairlines #firstclass #frequentflyer https://t.co/G8z8mN7meF"
6,2019-02-12 09:45:01,A nice late night surprise at #PHX  tonight. #JapanAirlines #JAL #Boeing 777-300 from Tokyo-Haneda 🇯🇵.  I ❤ the 777. https://t.co/4dExzEPKTG
7,2019-02-12 08:02:52,Japan Airlines to Enable Customers to Book Flights 360 Days Ahead (from 330 Days)  https://t.co/5p1ZuMVzyi  #aviation #avgeek #japanairlines #jal #news #travel
8,2019-02-11 09:15:58,Japan Airlines Announces Nonstop Service to Bengaluru https://t.co/70Rr6rrQiX Mobile App https://t.co/RPIzC4hASO WhatsApp https://t.co/xnn2zL0JHR #JapanAirlines #Flight #Bus #Car #Ticket #Hotel #Tourism #Ticket #Issueticket https://t.co/7DoWY8mqOE
9,2019-02-11 08:34:21,Drunk pilot taken off American Airlines plane before take off https://t.co/sMO2NtYETf #WorldTravel #TravelNews #AmericanAirlines #Aviation #AviationNews #AllNipponAirways #JapanAirlines https://t.co/QPns1fg62Y
10,2019-02-11 00:57:45,Brand New B787-9 “Dreamliner”. Japan Airlines JA876J landing in BKK! ✈︎ #JapanAirlines #JAL #JL #B787-9 #B789 #JA876J #JL717 #NRT #BKK #Suvarnabhumi #VTBS 場所: Suvarnabhumi Airport https://t.co/1SfCnClkMp
11,2019-02-10 21:14:13,#micmac #warehouse #friperie #japanairlines #levis #501 #perfecto #navajo #vintageclothing #streetstyle #paimpol #cotesdarmor #bretagne #bretagnetourisme @ Mic Mac https://t.co/BEzinMn875
12,2019-02-06 21:40:31,GM🌅  Pure white plane in blue sky  Simple is the best  Nikon z7+ AF-S NIKKOR 600mm f/4E FL ED VR  Osaka International Airport ITM/RJOO  #japanairlines #jal #flyjal https://t.co/TzAfJgOyEJ
