,Date,Tweets
0,2019-02-16 05:46:46,@jetairways No resolution or action yet by your customer service team! #9wupdate #jetairways @jetairways
1,2019-02-16 04:58:19,"@jetairways pls remove these flights from your reservation page instead of canceling the flights later. #JetAirways debt at Rs 7,299 crore; troubled #airlines to withdraw from select domestic, overseas routes - @MoCA_GoI  https://t.co/MkACFEzGgO"
2,2019-02-16 04:06:51,https://t.co/I0TMqw7bsd $ Will Mr #RajnishKumar Chairman #StateBankOfIndia Operate #JetAirways Dear Mr @narendramodi? $ CC @DasShaktikanta @MoneylifeIndia @EtihadAirways @IATA @TheVijayMallya @the_hindu $
3,2019-02-16 03:32:23,In @bsindia :A 3 part rescue plan blessed by government will save Jet Airways. PSU banks to convert debt into equity. A government-backed fund NIIF &amp; banks to invest money. Jet to sell planes to reduce the remaining debt: https://t.co/G0whVWm784 #aviation #jetairways @aneeshp
4,2019-02-16 02:50:00,"Promoter Naresh Goyal and Etihad Airways, which owns a 24% stake in Jet Airways, will infuse around Rs 2,000 crore into the airline  @ari_maj &amp; @aneeshp report  #JetAirways  https://t.co/xloOMupkzR"
5,2019-02-15 22:08:09,"Half of the Jet airways flights are cancelled, yet displays show all as open. No intimation on phone/email. No replacement ticket. Absolutely avoid this airline. #JetAirways @jetairways @DelhiAirport https://t.co/7sFlyhkSdK"
6,2019-02-15 19:55:42,#JetAirways has revealed that four of its #aircraft have been grounded after it failed to pay their lease #rentals. #AviationReport #News https://t.co/4Sj9UBMdET
7,2019-02-15 19:06:37,New low for @jetairways. Crew on #9W483 refused to hang my jacket in a closet as I was in economy. No #food #blanket and now this; do I need to dress up for #JetAirways. Can @TheOfficialSBI give them some money to buy a few hangers? @airvistara can you help corporate travellers?
8,2019-02-15 18:25:06,Govt owns majority stake in SBI. And soon SBI may have majority stake in #JetAirways.   So will it become a #government owned #airline ? Like Air India !  What does #corporate #law say ?
9,2019-02-15 17:41:07,#JetAirways  never been fan of Volume analysis !!   but look whats cooking a pump and dump story !! https://t.co/0kIgKtiDgR
10,2019-02-15 17:20:00,#JETAIRWAYS - WEEKLY || JETAIRWAYS MIGHT CROSS 245 ON THE UP SIDE - TradingView - https://t.co/vjGiFy7Ygs
11,2019-02-15 17:13:37,"JPPL stake sale put on backburner, says #JetAirways https://t.co/e2LDiZ1CLq https://t.co/vncNPNEclf"
