,Date,Tweets
0,2019-02-15 15:47:14,@KoreanAir_KE Cargo Boeing 777-200F holding short at the RWY while a @easyJet A320 Taxiing to RWY! 😍📸 #vie #loww #koreanair #boeing #b777 #easyjet #a320 #airbus #koreanaircargo @flughafen_wien https://t.co/pVC9vVdcGh
1,2019-02-15 15:00:01,What a beautiful landscape!💕  #KoreanAir #Aurora #KE086  Credit: https://t.co/RlQBGEJ6I7 https://t.co/EmvyNCbVBZ
2,2019-02-15 09:07:58,Go go Fukuoka! Just one hour from Seoul to Japan!  #close #neighbours #korea #fukuoka #koreanairlines #koreanair #amazingcountry #amazing_shotz #journeys #onlyonehour @ Incheon… https://t.co/56iSQlotlD
3,2019-02-14 12:00:01,Happy #ValentinesDay !  #KoreanAir #A330 #Okinawa  Credit: https://t.co/QkKcRfBvEU https://t.co/nBGNndHVjI
4,2019-02-14 05:18:50,The Thursday Line-up at Velana Airport 😎 ✈️.  @lufthansa @KoreanAir_KE @aeroflot @British_Airways @qatarairways  #velanainternationalairport #lufthansa #koreanair #aeroflot #britishairways #qatarairways https://t.co/KXkhTGtL7f
5,2019-02-14 02:34:41,This coming June I will make six years at my current job at JFK airport. Below are some photos from the office. Enjoy.   @Delta #DeltaAirlines @KoreanAir_KE #KoreanAir @Airbus #Airbus @Boeing #Boeing #NYC #JFKAirport https://t.co/BEpUJmNsHS
6,2019-02-13 21:53:41,Koran airline #KoreanAir you need to improve your service for disable person.
7,2019-02-13 21:24:19,Too slow to service the disable here in Incheon Korea..where is their wheelchair #KoreanAir  they are not a stranded passenger!!! They are waiting for wheelchair service!!!!!! https://t.co/b3qqSs9Clf
8,2019-02-13 21:12:33,Korean airline is too slow to service the needed for wheel chair service. #koreanair https://t.co/C0iis8Zmx2
9,2019-02-13 18:54:38,Looking for #flightvoluteers and #flightcouriers from #Incheon #incheaonairport to #nyc #asiana #KoreanAir #koreandrama #BTS
10,2019-02-13 15:00:00,"Next time when you are in Korea, instead of saying “cheese” while taking picture, try saying ”Kimchi”! #GoKorean #KoreanAir   ★https://t.co/j8lfeoP3JO https://t.co/Ps3lqh1WD0"
11,2019-02-13 13:19:02,"@PyanCGT @KoreanAir_KE @flyLAXairport Looking good, keep on flyin! #KoreanAir"
12,2019-02-12 23:07:04,"@Russellhannon It’s absolutely normal for passengers to seek cheaper fares. For example, I don’t understand why it’s twice more expensive to fly from Chicago to Incheon than to fly from Chicago to Manila with layover in Incheon by the same airline. #unfair #KoreanAir #AsianaAirlines"
13,2019-02-12 14:00:01,Korean Air makes your special day even more special✈️✨  #KoreanAir #B787 #FirstClass https://t.co/sdy1833f5S
14,2019-02-12 05:38:07,@KoreanAir_KE with some contrails arriving on a snowy Saturday at @SeaTacAirport #seatac #koreanair #SeattleSnowpocalypse #SeattleSnowMageddon2019 #avgeeks https://t.co/HiYR8ttyE9
15,2019-02-12 04:56:14,📷 Monochrome Monday - That Airport Life! #steemit #airport #koreanair  https://t.co/rausoM9hwl https://t.co/TveMwUqZtx
16,2019-02-11 20:22:14,Wow! Perhaps I'm ignorant. This is the first time I saw Airlines tweeting like this 😂😂  @BTS_twt 💜 #BTS 💜 #OT7 💜 @BigHitEnt 💜 @bts_bighit 💜  #BTSxGrammys 👍🏻 #TearItUpBTS 😎 #KoreanAir https://t.co/FImGjeUC7E
17,2019-02-11 15:18:25,"@KoreanAir_KE Thank you so much taking care of our boys , hoping for good care in future too love you all flight team members #KoreanAir  #TearItUpBTS"
18,2019-02-11 11:13:34,@KoreanAir_KE Our Boys Travel 70%-80% of the Year Know #KoreanAir always take care of our boys THANKS for all your Hard work!!! #TearItUpBTS @BTS_twt #BTS
19,2019-02-11 08:21:32,[ upchar ] RT KoreanAir_KE: Thank you for flying with Korean Air! 💙💙   #KoreanAir #BTSxGrammys #BTS https://t.co/7Tk0dHy6Gp
20,2019-02-11 08:07:48,About to take #myfirstflight on a #airbusa380 #a380 #wanderlust #myfirsta380 #koreanair #seoul to #bangkok #jetsetlife @ Incheon International Airport Terminal 2 https://t.co/5i4DEzIlqU
21,2019-02-11 06:41:23,And with Korean Air too!! 😍😍 @KoreanAir_KE  #KoreanAir
22,2019-02-11 06:15:56,Thank you for flying with Korean Air! 💙💙   #KoreanAir #BTSxGrammys #BTS https://t.co/Selm34AvOh
23,2019-02-10 10:28:29,How to do Retroactive Mileage Claim for Skypass (Korean Air) #AirlineMiles #KoreanAir #Skyteam #Travel https://t.co/wRpeGoPUi9 https://t.co/XaLtQhrHwI
24,2019-02-10 10:00:00,Choose your ride smartly in South Korea by looking at the colors of the #taxi🚖 While taxis in orange and grey are more economical and driven by junior drivers; black cab drivers are more senior and can speak English🗣  #GoKorean #KoreanAir   ★https://t.co/j8lfeoP3JO https://t.co/Eh8df5bujA
25,2019-02-09 15:40:11,WANT POOJA2 HERE  MUST  FACE  #KOREANAIR  ..FACE GROUND STAFF #HAWAIIANAIRLINES    NOT ENTER HERE
26,2019-02-09 15:00:01,"Koreans remove their shoes indoors, sometimes even in coffee shops, classrooms, restaurants, you name it👞👠 Let’s #GoKorean in barefoot! #KoreanAir   ★https://t.co/j8lfeoP3JO https://t.co/dxVh3Evbhm"
27,2019-02-07 14:00:00,"Korean Air provides you the best-in-class comfort in the air morning, noon, and night.  Photo credit: https://t.co/Xgu7DZyCuE  #KoreanAir #Korea https://t.co/tMqjKbeqZm"
