,Date,Tweets
0,2019-02-16 01:26:38,@lufthansa It sounds like it’s too expensive just to get to a regular fare 😢 I guess I need to earn more status 🤷🏼‍♂️ If you ever randomly upgrade a Twitter user .. I’m right here 😂✈️ Excited to try #Lufthansa
1,2019-02-15 21:55:53,"Test flight Photo: John Heggblom Aircraft: Boeing 737-130 Airport: Tucson Int'l (TUS/KTUS) MSN: 19032 LN: 119 Reg: D-ABEV Engines: PW JT8D-7A Date: Dec.31.1968 Status: Scrapped in 2000s as ""N77215"" Continental Airlines Delivery: Jan.14.1969 Age: 42 Years #lufthansa #boeing737 https://t.co/QcxaJ5nrzo"
2,2019-02-15 20:49:29,Had the worst experience flying first class with LH754 ( #united Ticket). Looks like ur bursars need a refresher on customer empathy &amp; more importantly learn to respect customers irrespective of race or nationality and please don’t discriminate! #lufthansa #United #Discrimination
3,2019-02-15 20:19:04,"With both archrivals #Ryanair and #Lufthansa expressing interest in #Condor, the likelihood of a high price have increased. UBS did a study about the deleveraging prospects of #ThomasCook, which are most likely significant #TCGLN #HighYield #Repricing https://t.co/0eyZ3DWQel"
4,2019-02-15 19:01:22,From Europe to Africa. @flyethiopian  #Lufthansa https://t.co/rCnKsTwb1R
5,2019-02-15 18:37:28,@Lufthansa_India So much hype about efficiency of #lufthansa who failed to retrieve my laptop from flt LH-757 at Frankfurt despite informing your Cabin Found Property desk within minutes of alighting on 23rd Sept.18. Even responses to several emails have at best been tad. Thats @lufthansa ?
6,2019-02-15 17:48:13,The Chariot to the mountains awaits. #lufthansa #birminghamairport #wildschonau https://t.co/EHe0FKRnzv
7,2019-02-15 17:36:18,God I hope they get the Blue the right shade ? We don't want a repeat of the #Lufthansa colour / shade debarcle 😀 https://t.co/VrintquGVW
8,2019-02-15 17:12:03,An airline is suing a customer who skipped a leg of his flight to save money https://t.co/jMNthF1gUg #lufthansa https://t.co/i4FCElnUZe
9,2019-02-15 17:06:29,Check checked-in. #vakantie #bijzonderereis #neefneef #china #lufthansa #beijing #peking @ Amersfoort https://t.co/Y6krIrvSKp
10,2019-02-15 15:25:23,Travelling on holidays with #chopinairport and #lufthansa . Lecąc na ferie. https://t.co/1cypLZcLY2
11,2019-02-15 14:39:51,#Lufthansa attack in justice !  He himself present not at embarquement  then a stop  a compensation of 2381 $ the difference between the price of his ticket and what would have cost a a flight direct .
12,2019-02-15 13:33:53,"#Lufthansa Shout out to the Lufthansa staff in Munich.  Our Air Canada flight to SJO via Toronto was weather delayed.  Lufthansa got us to SJO actually 2 hours before would have gotten there if there was no delay.  Really friendly, helpful and efficient. #costarica"
13,2019-02-15 13:23:13,"#Lufthansa sues a customer, meanwhile tickets for a family holiday booked two months early are now £500 cheaper the day before the flight, told no way to change tickets to make this savings, an unfair ticketing policy, this airline does not care about its customers. https://t.co/LUaNwTeAoW"
14,2019-02-15 13:17:39,"Something tells that by suing a passenger for missing a flight, @lufthansa is going to learn about the Streisand effect the hard way! 😂 https://t.co/rJIcRxbb24 law vlawg is here! RT for full Streisand effect @PhillyD @LegalEagleDJ @skiplagged #skiplagged #lufthansa #skiplagged https://t.co/ELSxdgk9Ca"
15,2019-02-15 12:38:53,„#Lufthansa: #Stop transporting Irish #greyhounds to China” - Please sign here https://t.co/F5sojaEVbl via @ChangeGER
16,2019-02-15 12:00:00,Passengers with a Premium Economy class ticket can take up to two 23kg pieces of luggage. #Lufthansa #PremiumEconomyClass https://t.co/1C8Hevq6im
17,2019-02-15 10:28:38,#Lufthansa is suing a passenger for taking advantage of “hidden city” fares to save money.  https://t.co/AI9Pu0wj3g
18,2019-02-15 09:22:25,"This week's newsletter includes articles on * #Lufthansa sues #passenger who didn't fly * Etihad's huge #airplane cancellation * Air Marshal problems * Keep PC out of the cockpit, @AlaskaAir * Tours to Scotland and France * Lots more https://t.co/rFKzAn0xLK"
19,2019-02-15 08:49:11,"Just arriving from Munich Photo: Eric Fortin  Aircraft: Boeing 767-3Z9ER Airport: Montreal Int'l (YUL/CYUL) Reg: D-ABUW LN: 759 NSN: 30331 Date: Sep.19.2004 Status: Active on Austrian Airlines as ""OE-LAZ"" Delivery: Mar.2003 Age: 19.6 years - #boeing #lufthansa #AvGeek #boeing767 https://t.co/ylCTlDWaL6"
20,2019-02-15 07:41:14,#Lufthansa Group Market Conference https://t.co/cRrvG6SVdd
21,2019-02-15 05:30:28,#Lufthansa Great flight on LH730 on Wednesday 13/2. Great service and attention by the crew. Special thanks to Ms Graf who took great care of us during the flight. https://t.co/kIko424vnB
22,2019-02-15 01:24:52,I love you #Lufthansa https://t.co/q3CGgbGdKC
