,Date,Tweets
0,2019-02-16 04:57:01,"And off we go to Karachi on an ATR of #PIA, all samples safely loaded for this first leg of the journey. Lab, students and colleagues get ready for the analyses. https://t.co/FzkiaDFNZy"
1,2019-02-16 04:43:17,@Official_PIA found this at a friends home. Looked nice to@me thought will tweet it out. 👌 ✌️ 🇵🇰 #PIA #PAKISTAN https://t.co/a10jw4CQL0
2,2019-02-16 04:00:31,"Watch sunset by the tallest fountain in the world only in Jeddah - King Fahd's Fountain, throwing water up to 1023 ft  Fly to Jeddah starting 18th February 2019 only with PIA. For bookings and details visit https://t.co/xjxYU0deQm or call +92 21 111 786 786. #FlyPIA #PIA #Jeddah https://t.co/lNi21ihrEg"
3,2019-02-16 01:14:51,"Mr Siraj Kazi Country Manager United Kingdom presenting PIA momento to his Excellency Mohammad Nafees Zakaria, High commissioner for Pakistan, United Kingdom. #PIA https://t.co/rqvRRcGWKC"
4,2019-02-16 01:12:27,@BitchestheCat @LVFREW My grandbabies want to participate as well #Rocco #Pia https://t.co/iyc5YgdLFh
5,2019-02-16 00:29:50,#PMMeles on what's expected of #Eritrea to make peace @ 10:55: gov of Eritrea  must understand that it has no right to decide on #Ethiopia political affairs...  I wonder if this explain the reason behind #PIA telling #PMAbiy: You lead us. https://t.co/N6mOW0A8ti
6,2019-02-15 23:36:39,"@imanahil1 @Official_PIA A)We need to learn 2 follow the rules whatever they maybe, instead of questioning why. B) If someone uses ur CC to buy #PIA ticket without ur knowledge n PIA does ask them for CC n end up stoping them from flying, would u b happy then ?"
7,2019-02-15 22:31:12,"Political psychosis part II. It seems like years of war, famine, &amp; drought had decreased z genetic poll in Tigray. Z small, closed, prison &amp; pariah killil seems to have more degenerates &amp; imbeciles by comparison. We have to remind them that they aren't in z same league as #PIA https://t.co/KdbJTSFMcK"
8,2019-02-15 21:41:32,Sorry not sorry! 💁🏻‍♀️ Just look at him! 😍💙⚾️✌🏾7️⃣ #illretweethimallday #pia https://t.co/eJwvgPLlfB
9,2019-02-15 20:21:28,@semaetatina The fact the people would rather risk their lives on the open seas rather than stay should say it all about our beloved #PIA.  #freeEritrea
10,2019-02-15 17:04:21,Mrs. Palmer’s class invited me to eat lunch with them today! Love spending time with our kids! #BrunswickPRIDE #KidderPRIDE #KidsDeserveIt #BeTheOne #PIA https://t.co/diy4x8SvRF
11,2019-02-15 16:58:00,"@HabteAsfaha Well, I appreciate your point. Maybe not exactly 21, but #PIA was in the leadership from his early twenties..."
12,2019-02-15 16:56:30,Our £500 Giveaway has officially closed! CONGRATULATIONS TO OUR WINNER: HABIBAH SHAN 🥳 Your £500 is ready and waiting for you. 😀  Thanks to everyone who entered. Keep an eye out for our next giveaway! 💸 #PIA #Winner #Competition #Giveaway https://t.co/ir5lPXdinA
13,2019-02-15 16:50:45,Dear @sureshpprabhu ji request you to stop over flight of #PIA flights from Indian territory #Pulwamaattack Let those pigs 🐷 burn their dollars
14,2019-02-15 14:43:11,"Product Innovation Awards: SUBMIT YOUR PRODUCT TODAY!  There's an all-new format for the #travelgoodsshow #PIA with more categories and more ways to be recognized! Best new design: Luggage, Business, Accessories Best use of #technology  Most #ecofriendly  https://t.co/mLTTSUwgo9 https://t.co/G5aNGztRvJ"
15,2019-02-15 12:34:23,"3 days to go! Introducing new flights between Faisalabad and Jeddah starting from 18th February 2019, every Monday, Wednesday, Thursday and Saturday. For bookings &amp; details visit https://t.co/xjxYU0deQm or call +92 21 111 786 786. Terms and conditions apply. #FlyPIA #PIA #Jeddah https://t.co/6yvVvOiSOW"
16,2019-02-15 12:19:53,"If your PIA flight departed from anywhere in the UK or Europe &amp; landed in Pakistan more than 3 hours late, then by law you are covered for up to €600 in compensation for your lost time. Get in touch today. https://t.co/g6A19ivq9J   #FlightDelay #PIA #Delayed #FridayMotivation https://t.co/LDgo011D5p"
17,2019-02-15 11:19:00,"It will take over the management control of loss-making firms and have better oversight of all #public sector companies, including #PIA and the #PakistanSteelMills  https://t.co/ZFp6ti7lMB"
18,2019-02-15 10:10:51,#SAUDI ARABIA ANNOUNCES TO CUT VISA FEES FOR PAKISTANIS  #PIA to operate daily flights for PSL matches
19,2019-02-15 10:04:21,#SAUDI ARABIA ANNOUNCES TO CUT VISA FEES FOR PAKISTANI  #PIA to operate daily flights for PSL matches
20,2019-02-15 08:12:24,This is scary AF! #greatpeopletoflywith #PIA #airtravel https://t.co/MjegaOtIFV
21,2019-02-15 07:16:56,"When it is about cricket, PIA is sure to be there! The national flag carrier will fly you direct to the cities where the PSL action is happening live!!  Book you tickets at https://t.co/zzPi4NyCFA or call our helpline at +9221111786786   #PIA #PSL4 #PIA2PSL #Sharjah https://t.co/V8LAhRyT51"
22,2019-02-15 06:48:43,"@PTIofficial Can’t wait to see the day you do that! There will be nothing better than buying a ticket to Pakistan on #PIA for an exPat. So no uturns, live up to your word. Remember talk is cheap."
23,2019-02-15 06:29:05,🙋‍♂️My live video Message to the  62 #Eritrea /n  who are visiting #Ethiopia  For so called “Culture Tour” Specially  to ኣቦና በረኸት መ/ኣብ #ypfdJ #pfdJ #Asmara #DIA #PIA @POEritrea @PMEthiopia @Ethiopia_Abebe @BilleneSeyoum  👇👇👇 https://t.co/uJPwd8m5Hd
24,2019-02-15 05:28:38,PIA brings you a special promotional fare on flying from Jeddah to Karachi. Avail this opportunity for as low as SAR 455 (one-way) and SAR 1000 (return)! For booking and details visit https://t.co/zzPi4NyCFA or call +92 021 111 786 786.⠀ #PIA #FlyPIA #Jeddah #Karachi https://t.co/eje3kLhiMn
25,2019-02-15 04:00:06,Seek the beacon of light from the tallest lighthouse in the world - Jeddah Light only in Jeddah standing 436 feet tall. Fly to Jeddah starting 18th February 2019 only with PIA. For bookings and details visit https://t.co/xjxYU0deQm or call +92 21 111 786 786. #FlyPIA #PIA #Jeddah https://t.co/W5dGIF3Xit
26,2019-02-15 01:24:01,The Fair Lawn Cyms say Happy Valentine’s Day! ❤️  #Seavine #CymbalGloves #CymbalLine #CymbalLove #Drumline #Cymbals #WGI2019 #HornlineGloves #PlateLine #Cyms #DCI #WGI #Drummers #CymbalScholarship #OIPA #MEPA #PIW #PSW #PIA #Crash #SCPA #Crash #Flips https://t.co/jIdvUyOFl4
27,2019-02-14 23:31:24,"@Sana_Jamal @Official_PIA @PKAviation @AirportPakistan It would b nice if they invite homeless, under prevledged or children from villages who never had or ever will even see a real plane in their lifetime, instead of inviting these already high society rich families kids. Maybe #PIA would learn in future."
28,2019-02-14 21:21:01,The Westhill Cymbals have Valentine’s Day spirit! ❤️  #Seavine #CymbalGloves #CymbalLine #CymbalLove #Drumline #Cymbals #WGI2019 #HornlineGloves #PlateLine #Cyms #DCI #WGI #Drummers #CymbalScholarship #OIPA #MEPA #PIW #PSW #PIA #Crash #SCPA #Crash #Flips #ValentinesDay https://t.co/okhdmjj06p
29,2019-02-14 19:42:20,🙋‍♂️@POEritrea  #PIA any Justification for this  Mr.President ? #Eritrea #Ethiopa @Ethiopia_Abebe @Ethiopia https://t.co/TtiE5ksKmX
30,2019-02-14 18:20:22,Ali Azmat always #PIA and an extremely overrated person and singer
31,2019-02-14 17:58:00,"At least, we can place some clean stuff in a better way. Its simply management and believe has nothing to do with financial crisis of company. #PIA https://t.co/bTwApBVfin"
32,2019-02-14 17:56:39,"At least, we can place some clean stuff in a better way. Its simply management and believe has nothing to do with financial crisis of company. #PIA https://t.co/mE7IRLdFtb"
33,2019-02-14 17:51:49,"No Senator, these employees should be prosecuted by the State for endangering the lives of people with lies and incompetency. Leniency is not for those who take human lives into their own hands for their own personal gains. Don't fly a plane if you're not qualified for it! #PIA https://t.co/jgvBVdQLYF"
34,2019-02-14 16:06:49,This is becoming a pure cult  on the #ypfdj  camp Seriously .🤦‍♂️ @POEritrea #PIA what Magic are you using to have those Guys to keep warshiping for ages ? https://t.co/G0CVXYDuod
35,2019-02-14 15:52:04,Love your staff?  Tell 'em and show 'em!  @LinoLightning #pia #betheexample #schoolculture https://t.co/CjRxH4h30a
36,2019-02-14 14:50:04,Somewhere in a parallel universe #NayaPakistan #PIA https://t.co/B0qM2nf8JG
37,2019-02-14 13:42:21,#pia needs aids not suggestions https://t.co/MZjHVVMdqq
38,2019-02-14 12:03:07,@Rimmel_Mohydin Basically people know this is what’s needed to fix #PIA so they avoid the process of whining via commenting and get straight to the point :)
39,2019-02-14 11:55:00,The crew of a Pakistan International Airlines flight from Karachi to Multan forgot to load the luggage of over half the passengers on board the flight #PIA #Karachi #Multan  https://t.co/88JC1rRJQ7
40,2019-02-14 11:20:57,#PIA to operate daily flights for #PSL matches  Read more: https://t.co/QTEbL3NYho https://t.co/So1Oi0ZNkh
41,2019-02-14 09:58:53,"#breaking No More Comments Cards, No problem! People of #Pakistan are donating money to support the dying airline @Official_PIA that keeps announcing new routes but can not fix its core issues (aircrafts, over staffing, poor service, etc). #pia https://t.co/EMzYTIbBZ8"
42,2019-02-14 09:38:50,All for #Usury #Riba on #Odious_Loans. Job accomplished!  Govt #privatising #PIA’s #Roosevelt_Hotel New York https://t.co/E6GKMSwk9i
43,2019-02-14 09:00:57,#Lahore: Meanwhile at International Departure lounge at Allama Iqbal International Airport.  Comments Cards Box #PIA https://t.co/3sbD72v4To
44,2019-02-14 08:36:37,Great People to Fly With #PIA https://t.co/6iuwJ5Wncv
45,2019-02-14 08:00:23,V r so generous n wise too....V know 1st thing #PIA needs to fix her shortcomings is money https://t.co/mnBfOrOLsx
46,2019-02-14 07:22:28,PSL starts today! Are you in Dubai yet? The national flag carrier will fly you direct to the cities where the PSL action is in full swing.  Book you tickets at https://t.co/zzPi4NyCFA or call our helpline at +9221111786786!   #PIA #PSL19 #PSL #Dubai https://t.co/pLbHl3XWiS
47,2019-02-14 07:09:56,People know #PIA deserves the most... 🤭 https://t.co/vqdllK9l6j
48,2019-02-14 06:24:39,Pakistan International Airline (#PIA) has announced to operate daily flights to the cities hosting the Pakistan Super League (#PSL) matches this season #ARYNews   https://t.co/PJeeyx6Ecf
49,2019-02-14 06:07:44,@sparkle9053gma1 @DisneyFrozen Cannot think too much about it now haha bcz m already stuck in sorting some of the flights!!! Ahhhhh #PIA sucks!!!
50,2019-02-14 06:05:08,#Pakistan #PIA  time to smile.... https://t.co/BmMCCIGnLo
51,2019-02-14 05:42:04,Why again #PIA cancels all flights to #Mohenjodaro - once the capital of Indus Civilization? Only less revenue can't be the lame excuse everytime. It needs to revamp itself to attract tourists + passengers; offering attractive packages and rebranding the soft image of country. https://t.co/D9Q2Gtt5rk
52,2019-02-14 04:56:58,"@ImranKhanPTI Privitise is must but only for #PIA and #steelmill because it's default institution but #statlife privitaisation is not good step ,it's provide better revenue https://t.co/ru6AklfWsd"
53,2019-02-14 04:52:43,"@ImranKhanPTI Foolish step of government about privitaisation of #statelife , government unable privitise of default institution like #PIA  but how possible @pid_gov  privitise profitable institution like #statelife.shameful and misgovernce step. @ImranKhanPTI"
54,2019-02-14 04:52:17,"Foolish step of government about privitaisation of #statelife , government unable privitise of default institution like #PIA  but how possible @pid_gov  privitise profitable institution like #statelife.shameful and misgovernce step. @ImranKhanPTI"
55,2019-02-14 04:10:40,"53 Years Back, Checkout what our democracy have done to it😡😡😡 #PIA #PakistanOnTheRise  #PMLN  #PPP #FakeDegree  #PTI @siasatpk #PMIK https://t.co/3oeC85Jc8F"
56,2019-02-14 04:07:07,#Senate body slams #PIA for sacking employees with #fakedegrees  Mushahidullah wants to give them a Medal of Honor 🤪   Read More at: https://t.co/CNu2Of4OKr
57,2019-02-14 04:00:32,"Pakistan, you will forever be my one and only true valentine. Celebrating my love for my country at greater heights. Thank you for making me who I am today. I love you Pakistan. 🇵🇰♥️✈️ #valentinesday #happyvalentine #pia #pakistan https://t.co/WeKQXN0fX4"
58,2019-02-14 03:27:53,Doing a video shoot sponsored by @buyvpnservice! By far the best solution for my VPN needs. Shout-out to @TheCryptoDog for recommending! #PIA https://t.co/eK6wVajL1B
59,2019-02-14 01:07:40,@Sammi__007 @semaetatina Well I use think that way as well  Sami &amp; why he is left  from all  his comraderies ?  Check the picture below ? The answer is simple because he is a world Class Serial killer.👇@POEritrea #PIA #DIA https://t.co/TlZAuV7SIQ https://t.co/LtMkzzZoWq
60,2019-02-14 00:13:19,#PIA badly need this 👇🏻😂👇🏻😂👇🏻 https://t.co/RKdVWusUQY
61,2019-02-14 00:00:56,"Wednesday is printer’s day. The 1st print shop who signs up for a straight hourly or hourly with extras (direct mail, email blasts etc) will get a 15% discount. #printchat #printing #PrintShop #printer #PIA #GraphExpo #Print19 #APTech"
62,2019-02-13 22:13:21,"Last year your conspiracy theory was that #PIA started the war to stay in power, and now #PIA is a unionist? A good conspiracy theorist creates a good and convincing plot, just like good novelists...you need to work on that brother! Your theories are out of sync. #Eritrea https://t.co/eajehWqipG"
63,2019-02-13 21:08:37,@Nas_k27 Clear example how pity people feel for #PIA’s condition 😂
64,2019-02-13 20:19:52,Overseas Pakistanis considered educated but in this flight educated people are fighting with each other. We shd thnk y it happn alot in #PIA.
65,2019-02-13 20:16:55,I am traveling from CPH TO LHE with #PIA And I am thinking there should be some laws for passengers not only for PIA staff and airline so that we can educate our people with our polices and laws. @ImranKhanPTI @PTIofficial. And it need your attention.
66,2019-02-13 19:00:57,"I will forever bleed green for you. Happy valentines my love, Pakistan #valentinesday #happyvalentines #pakistan #pia #flypia #valentine https://t.co/qMjdAYrsjS"
67,2019-02-13 17:49:50,You know why man is heading the Senate Aviation Committee ? Because he’s the one who has done MOST political appointments in #CAA and #PIA so no one can catch him this way as he himself is doing his own accountability @mushahid Beghairat Patwaris #PMLNExposed #PMLNRejected https://t.co/ntyASww36Y
68,2019-02-13 15:49:30,⁦@Mushahidullahkh⁩ as expected from a #MNA of corrupt #PMLN criticized #PIA on sacking pilots with fake degrees. #Shameless ⁦@CMShehbaz ⁩                  Senate body slams PIA for sacking employees with fake degrees   Read More at: https://t.co/exTMC7csXp
69,2019-02-13 15:28:38,"Break up your staff meetings with something fun and reciprocal.  Staff made ""Valentines"" for a random staff member thanking them for their work. Thanks @PrincipalTous #PrincipalsinAction #pia #teambuilding #MESPAMN https://t.co/dPXOlNrPNG"
