,Date,Tweets
0,2019-02-16 02:55:01,Ready? Make it real! #QatarAirways #CabinCrew #FlightAttendantDream https://t.co/1Hfm4dNfjJ
1,2019-02-16 02:33:06,"Special fares to America from #QatarAirways Fares from INR 50,000* Great fares, EMI* option, bonus Qmiles, Experience Qatar during your stopover &amp; more  Book by 18 February 2019 https://t.co/WBPuk7Ofa2"
2,2019-02-16 01:00:06,DEAL: Save up to 30% on Business Class to japan with Qatar Airways' Premium Offer  Book by 18 February 2019 for travel between 1 March and 11 December 2019.   *Terms and conditions apply.  https://t.co/hGGNeL8FR5  #Ad #Japan #japantravel #VisitJapan #qatarairways #TheRealJapan https://t.co/sL4FOI3tiA
3,2019-02-15 23:15:09,Qatar Airways launches rewards programme for SMEs https://t.co/G9X7Pdn8ID #qatar #qatarairways #rewards #businesstravel #SME #FCBT #youdeservebetter https://t.co/MLTL4aIyfN
4,2019-02-15 22:07:32,Qatari 1 (A7-ANB - A35K) of @qatarairways on final for 27R @HeathrowAirport from Doha  15-02-2019  #qatarairways #airbus #airbusa350 #a350 #heathrowairport #lhr #avgeek #aviation https://t.co/4mFpgyJ7tF
5,2019-02-15 20:59:44,indianwedding #indianfood #mysticmessenger #mydubai #indianfashionblogger #instagramers #facebook #bang #banglorediaries #bangladesh #qatarairways #qatar🇶🇦 #dohaqatar #dohanightlife #fashion #fashionblogger #fashiondesigner https://t.co/f9cXZcuz22
6,2019-02-15 19:04:11,"Well, by several, seems I meant 2. Only ate twice on #QatarAirways #B777 #QSuite #LAX to #DOH But nice #Breakfast https://t.co/QkuQsLF3kq #avgeek #travel #LuxuryTravel #Aviation #Qatar #Doha #inflightfeed #inflightcatering #inflightmeal #planefood #airplanemeal #patstravelreviews https://t.co/AwgPIlutuM"
7,2019-02-15 19:00:05,Enjoying wifi connection on board and plenty of meals 😋 #QatarAirways
8,2019-02-15 16:30:00,Qatar Airways is taking civil aviation seriously as recently #CEO Akbar Al Baker welcomed a call for a re-evaluation of the regulations that have underpinned the global civil aviation sector since 1944 #QatarAirways https://t.co/WJ7cw8mE7V
9,2019-02-15 15:08:52,Flying with @qatarairways https://t.co/0IbceNaegj  #qatarairways https://t.co/pMr0v9P5zk
10,2019-02-15 13:24:44,"Been in the checkin line for an hour now and still here , wondering if we going to miss the flights , #qatarairways #heathrowt4"
11,2019-02-15 08:48:39,Great discussions on Global Growth at the Insider South West this morning @insiderswest #qatarairways #goingplacestogether https://t.co/AxX3oHEsTC
12,2019-02-15 07:52:22,Never too early for bubbles 🥂🤷🏼‍♀️ #whatsagirltodo #holidaymodeon #andrelax #doha #muscat #qatarairways #inspiresuccessinternational https://t.co/2nPoXCNY4F
13,2019-02-15 07:29:38,Coolest plane I’ve ever been in #qatarairways ❤️❤️❤️ https://t.co/gctsexJ6Bd
14,2019-02-15 06:09:18,First of several meals aboard 15 hr #QatarAirways flight #B777 #QSuite #LAX to #DOH https://t.co/QkuQsLF3kq #Travel #avgeek #aviation #LuxuryTravel #Qatar #Doha #flyLAXairport #inflightfeed #inflightmeal #planefood #planemeal #airplanefood #QR #businessclass #patstravelreviews https://t.co/sHJ6hLAuTf
15,2019-02-15 04:36:19,"#qatarairways #business #class #aminity #kit #wow @ Hamad International Airport Doha, State of Qatar https://t.co/889JYpOO5c"
16,2019-02-14 20:25:18,"@qatarairways @Boeing Here’s to our partnership with #QatarAirways, one of the world’s largest international cargo carriers. Thank you for flying the 747-8 Freighter! ✈️"
17,2019-02-14 17:40:20,Sold all my wheels. - Packed a pair of pants and sunglasses into a #bagforlife. - Now just need to catch a plane. - #newadventures #sold #car #motorcycle #cruiser #motorbike #jaguar #jaguarfpace #qatar #qatarairways #doha #newjob #qatar2022 https://t.co/syZ31SXqVT
18,2019-02-14 15:43:34,"#sad to read about the #demise of the #a380. For #passengers, arguably the most comfortable aircraft. With #QatarAirways it’s even better #airbus #380 #Aircraft #flying"
19,2019-02-14 15:31:05,Have you gotten your business class air tickets on @QatarAirways yet. There is a Global Sale till 18 February 2019 https://t.co/OgeAQNcfAj  #airfaredeals #QatarAirways #BusinessClass #flying
20,2019-02-14 15:27:18,"Celebrating today like never before as we share one love, the love of aviation. ❤️  Aviation is our valentine  . TAG Someone you LOVE ❤️  . . . . . #theworldlikeneverbefore #qatarairways… https://t.co/CJo47OtsIO"
21,2019-02-14 15:01:25,Qatar Airways #cabincrew This can be you! #cabincrewjob #qatarairways #qatarairwayscabincrew  #CoachMeOms @ Aircraft https://t.co/shRYFC32Gd
22,2019-02-14 13:52:25,Great course 🌞 @DohaGolfClub #Qatar #QatarAirways #qatarmasters @QatarGolf @aplant_hire @SrixonEurope 🌴 https://t.co/izYHuWHAmQ
23,2019-02-14 10:00:55,"Couldn’t get a window seat, so the plane’s cameras were  my eyes #travel #qatarairways #lhrdoh #a350 #a350900 #airbus #sunrise #plane #doha #vacation https://t.co/8WfIf8KKxh"
24,2019-02-14 09:44:09,When you have much leg room and later a good nap time.. 😋 #businessclass #qatarairways @ Naia International Airport Terminal3 https://t.co/TLDynv6XVI
25,2019-02-14 09:26:32,When you get a free upgrade to Business Class.. #privilegeclubmember #qatarairways @ Naia International Airport Terminal3 https://t.co/CoGpxtbMBA
26,2019-02-14 08:41:26,#airitaly #qatarairways #pilots #strike #italy #enac #AP #AssociazionePiloti  Strike confirmed. 15.02.19 - 4 hours. 11-15 Local Time. https://t.co/4piolUN4UW https://t.co/b2wysEwOLJ
27,2019-02-14 08:00:12,Qatar Airways Offers Discounts For Bookings In February #TheEconomyClub #Qatar #QatarAirways #BusinessClass #Discount #Offers #Fare #Premium #Travel Read More at https://t.co/0smcEhlh9k
28,2019-02-14 07:49:49,#QatarAirways is proud to be the Official Airline Partner of the #QatarShow 2019. #travel #traveltalk #traveling #followme #businesstravel #follow #like #twwt #ttot #tbex #retweet #businesstraveler https://t.co/z4rLKMm4TW
