,Date,Tweets
0,2019-02-15 10:01:13,#Airbus Special @ #ZurichAirport part 2 on YouTube by crosswind... https://t.co/JXO5Rt2nlT Music by : #4lienetic  #a7mbk #a320 #qataramiri #miabu #airbusA340 #4kai08  #airbusa340600 #fab2101  #a380 #singaporeairlines #marshaller   #planespotting #wef19  #WEFTRAFFIC #ZRH https://t.co/abKsOBifev
1,2019-02-15 09:34:57,Singapore Airlines (SGX:C6L)  - CGS-CIMB Research 2019-02-15: Outlook For FY20F Has Improved On Cheaper Fuel.   #SIA #SingaporeAirlines #Scoot #Silkair https://t.co/aZ3IuzPOef via @SGinvestors
2,2019-02-15 06:42:33,An extra daily flight but an older #businessclass seat product - here's what you need to know about @SingaporeAir's soon-to-be triple daily #Osaka service https://t.co/DYHT2wCxNv #businesstravel #avgeek #airlines #SingaporeAirlines
3,2019-02-15 06:41:47,Singapore Airlines is offering up to 50% off Required Miles for Redemption Flights in March - KrisFlyer Spontaneous Escapes  https://t.co/dRIHlqdEHR  #avgeek #aviation #flysq #miles #singaporeairlines #news #singapore #sg
4,2019-02-14 19:17:51,Singapore Airlines Adds Third Daily Flight to Osaka #SingaporeAirlines https://t.co/9RclHc3ZXr https://t.co/j492oWOtQ6
5,2019-02-14 16:46:22,Is #Singaporeairlines joining the poor performers on time keeping ? Flight sq306 now always late including today. #Travel used to be the best
6,2019-02-14 14:50:07,Please take a moment to view our stunning print work for #SingaporeAirlines  Powered by #PrintEarly https://t.co/i0fbn7hw9O  #NewyorkCustomer #RushPrinting #HighQualityProduct #Promotion #Banner #Printshop #Advertising #Bannerprinting  #Largeformatprinting #PromotionalProducts https://t.co/78PemkNtsw
7,2019-02-14 13:07:35,Getting ready to board the longest flight in the world to Singapore ! #singaporeairlines #asianadventure #airbusa350ulr #singaporegirl @ Newark Liberty International Airport https://t.co/nyO9z7D3XZ
8,2019-02-14 10:00:13,Follow us for more updates Website: https://t.co/L7Fl6vM2yR  #grindcoffeesg #sgeats #sgfoodie #sgfoodblogger #coffee #coffeebreak #singapore #singapura #singaporefood #singaporeairlines… https://t.co/ARyEjfDUzx
9,2019-02-14 08:59:29,"The @SingaporeAir #SingaporeAirlines  @Airbus #A350 #A350900 with registry #9VSMM, captured in #CGK. #Aviation #Airlines #AvGeek #Aircraft #AviationPhotography #PlaneSpotter #PlaneSpotting #Travel #Moments  #Unithalis2019   Please visit my IG page, @Unithalis for more images https://t.co/86CovaaxLg"
10,2019-02-14 07:48:16,@dolcegabbana @smeg channeling #Pakistani #Truckart? As found in #SingaporeAirlines #krisshop. https://t.co/gqcE0Xr2bE
11,2019-02-14 04:49:35,"✈️🥂Our review of #SingaporeAirlines' A350 Regional #BusinessClass flight is out! The inflight meals, service and seat storage were great, but the seat was a bit narrow and the lounge in Adelaide needs improvement. Read the full review: https://t.co/7OjTDsuXlH #flightreview https://t.co/QZFUw9sx2K"
12,2019-02-14 04:47:59,"#Aviation roundup: #BangkokAirways, #SingaporeAirlines and more  @TTG_Asia  https://t.co/6mgH3zer9j"
13,2019-02-14 02:36:38,Singapore Airlines Airbus A350-900 Business Class more Business Class Video on my YouTube  https://t.co/XeSH6pyNLU #flysq #singapore #singaporeairlines #シンガポール航空 @SingaporeAir https://t.co/XnVKL0zPPR
14,2019-02-13 22:44:46,Singapore Airlines A350-900XWB on final approach to San Francisco International Airport. . . . . . #plane #planes #airline #singaporeairlines #airport #sanfrancisco #california #america #airplane #airplanes #aircraft #aeroplane #airbus #aviation #aviatio… https://t.co/Gufx3kjVTg https://t.co/smBVrx4Vtc
15,2019-02-13 21:21:23,"♊♋♌♍♏♐♑♒♓⛎🔯 I dont know what her sign #SignLanguage #SIGN #signformyfuture #signsofspring ""TU"" is but I am attracted to her ""no problem"" ""Yan"" 🇩🇪🇺🇸 #Singapore #SingaporeAirlines #HongKong #hongkongmassacre 👣👣👣👣👣👣👣👣👣👣👣👣👣👣👖👖👖👤👤👤👕⛺⛺⛺⛺💬💭💭💭💭💭."
16,2019-02-13 12:55:33,4 years ago. Happy Valentine's day Murinna! 👋 Sekadar throw back je mampu.  #singaporeairlines #sq #SIA #cathaypacific #cx #CPA #worldbestairlines https://t.co/nhDBQcUlj3
17,2019-02-13 12:06:02,"Video: An introduction to #Krislab, Singapore Airlines digital innovation hub(@BTUK)  https://t.co/WE5iJM0Lom #SingaporeAirlines #Digital #Innovation https://t.co/rIjbqxeNWI"
18,2019-02-13 10:17:48,"Video: An introduction to #Krislab, Singapore Airlines digital innovation hub(@BTUK)  https://t.co/wvEeyiXkY6 #SingaporeAirlines #Digital #Innovation https://t.co/HA06HIE6L4"
19,2019-02-13 08:25:58,The 39000-ft tweet... ✈️ #SingaporeAirlines
20,2019-02-13 07:46:47,Views aboard Singapore Airlines from Brisbane to Singapore #brisbaneairport #bne #singaporeairlines #businessclass #flyingthroughclouds ##airbus #avgeek #flying #airline #a350 #flightops… https://t.co/79Jo1vqmBS
21,2019-02-13 03:58:57,Is it possible to travel from #Singapore to #Hanoi by train? YES! @em_luxton did just that: https://t.co/rVDp3kw3ic Bravo! 👏👍 #singaporean #singaporelife #singaporefood #singaporeairlines #singaporeinsta #singaporestyle #singaporetrip #travel #tourism
22,2019-02-13 02:00:13,Singapore Airlines is really on it with this lab and is looking at every aspect of flying.  Most importantly it reached out to its staff to figure out -where- to innovate.  Kudos to Singapore Air! https://t.co/PjqNnT6Bt5 #fintech #innovationlab #innovation  #singaporeairlines
23,2019-02-12 22:04:15,Many popular iPhone apps secretly record your screen without asking  #AbercrombieFitch #HotelsCom #SingaporeAirlines #Glassbox #Singapore #AirCanada #iPhone #DigitalPrivacy #DataPrivacy #iOS #iOS1214 #AppStore #Apple #AppleNews #TechNews  https://t.co/PTY1hQcX53
24,2019-02-12 21:11:37,#singaporeairlines #singaporeair #airplanefood this was pretty yummy Japanese option on Singapore airlines. We Highly recommend this airline 5 star from the Carrell fam. Shout out to Miss… https://t.co/6RsyzdXEHf
25,2019-02-12 11:30:26,"The Flying Chef takes to the skies with Singapore Airlines and SilkAir.  Endorsed by Dr. Phil, Mel Gibson and Brooke Shields just to name a few.  https://t.co/6zTSXHPBSZ #theflyingchef #singaporeairlines #silkair #DrPhil #melgibson #brookeshields https://t.co/E5k4DoVj1U"
26,2019-02-12 03:12:14,"Being a kid again is not bad. Watching pokemon during in my flight, while eaitng ny favorite chocolate. #singaporeairlines #KrisFlyer #travel #travelblogger #traveler #blogger #blog… https://t.co/J1Hnbky3QK"
27,2019-02-12 01:17:42,"Artificial intelligence, virtual reality, data analytics, blockchain - here's what @SingaporeAir's new Krislab will explore https://t.co/rF86f6hTwD #businesstravel #aviation #SingaporeAirlines #airlines"
