,Date,Tweets
0,2019-02-16 06:07:03,@flyspicejet @SpiceJetRBLX worst experience ever in kanpur airport. The handbag which goes in on every flight was not allowed just to extort money. The ground staff was very unsupportive and the conveyor machines were not working. NEVER AGAIN TRAVELLING ON SPICEJET. #Spicejet
1,2019-02-16 05:14:11,#TravelNews - #SpiceJet is all set to launch a direct flight service between #Hyderabad and #Jeddah on 25th March 2019. https://t.co/2exhHjzKd0
2,2019-02-16 01:20:04,@flyspicejet You aren’t doing us a favour by giving a mere ₹1500/tic when we spent ₹11k/tic. Our holiday was spoit bcoz of you. Give us proof of reason for the cancellation. #SpiceJet #India #flyingInIndia #budgettravel #budgetairlines #fly #fail @sureshpprabhu #airtravel @MoCA_GoI #DGCA
3,2019-02-16 01:02:53,@flyspicejet @MoCA_GoI @flyspicejet we haven’t heard from you on by when you’ll be compensating us the full money we lost becoz of your flight cancellation with no alternative arranged #SpiceJet #India #flyingInIndia #budgettravel #budgetairlines #fly #fail @sureshpprabhu #Mumbai #Mangalore #airtravel
4,2019-02-15 21:32:11,Pune to Delhi #SpiceJet delayed. This is the worst decision to take early morning spicejet flight. They are the worst airlines.
5,2019-02-15 17:21:00,Being a regular flyer #SpiceJet #SG679 is  delayed as usual and wastes our time.. #pathetic @flyspicejet
6,2019-02-15 17:17:39,#spicejet poor https://t.co/ySQ8juWWRg
7,2019-02-15 15:29:35,Shameless Spicejet. You will be ashamed at all fronts. #SpiceJet #spicejet https://t.co/H7HXusrjV9
8,2019-02-15 14:46:00,India's #SpiceJet sees improving outlook despite #profit plunge: https://t.co/0cQ7jcJxCz #aeropsace
9,2019-02-15 07:54:03,"Come for a walk-in interview with full length photographs &amp; your updated resume (Only for females). You may also send your resume &amp; pics to inflight.careers@spicejet.com For details, visit: https://t.co/0GTeigLKiW        #SpiceJet #Delhi https://t.co/A1HOa5dxpb"
10,2019-02-15 05:49:39,#VandeBharat Express Vs #AirIndia vs #SpiceJet vs #Vistara vs #Indigo: Train 18 #IRCTC tickets SOLD OUT! Future bright for #BulletTrain? https://t.co/nn2YHe4HH6
11,2019-02-15 03:11:06,"#spicejet @flyspicejet @AirComplaints @MoCA_GoI #AAI  Cheater airlines! Pathetic customer service, no response to a customers genuine concern!!  PNR : XC526T #CoachAnup"
12,2019-02-15 02:54:01,#Spicejet will connect #Kozhikode to #Jeddah  SG792 CCJ0535 - 0835JED SG793 JED0945 - 1805CCJ eff 20 april Frequency Daily Eqpt B737 MAX8
13,2019-02-15 01:44:46,"#JetAirways on verge of fallout. #Indigo cancelling flights. #AI maximum times needs bailout. #Spicejet had major issues in between, now seems to be ok. #GoAir only one without problems? What is happening to aviation industry all of a sudden"
14,2019-02-14 18:59:59,Oh @flyspicejet What did you do to your in-flight food service.  Why is it so yumm?(was I just hungry?)  I might just fly only #spicejet for that kind of food.  Impressed.
15,2019-02-14 17:47:51,#Routes #SpiceJet SpiceJet to launch daily flights on CCJ-JED wef 20APR19. This route is currently flown 2x weekly by AIX
16,2019-02-14 16:35:19,"@flyspicejet will start a daily direct flight between #Kozhikode in Kerala and Saudi Arabia's commercial capital #Jeddah from April 20, the airline said Thursday. @aaiclcairport #avgeek #SpiceJet https://t.co/hI5qTN4gGh"
