,Date,Tweets
0,2019-02-16 03:05:35,"Great to catch up with Tobin Cox in SA, meeting with Col from #redeaccountants #nationalcar #virginaustralia #afl #pafc @ Glenelg, South Australia https://t.co/6bDIrJUB0C"
1,2019-02-15 09:36:11,Sunsetting on the eastern seaboard from up in the sky #virginaustralia #wifi #sunset #plane https://t.co/X3PeWDtHSo
2,2019-02-15 08:00:50,"Very sad to be saying farewell to Hobart, especially to all the great food and wine. Looking forward though to flying home on our favourite domestic airline! #hobart #tasmania #travel #travelblog #livingourbestlife #over50 #welltravelled #airline #virginaustralia @VirginAustralia https://t.co/aqNmDL9bBl"
3,2019-02-15 01:51:01,"@VirginAustralia #VirginAustralia I specifically chose to fly with you because there are normally no delays but today delay after delay and gate changes, to top it off when asked if we will be compensated for the waste of time I was told no you don't compensate. Pathetic POS!"
4,2019-02-15 01:11:02,I need to confirm my return ticket on #virginaustralia #virginair I asked around of where their office is. Some says that they no longer have an office. All bookings are done online. I… https://t.co/JFbzJKMNsI
5,2019-02-14 23:46:40,It would be great to fly on this little baby #virgingalactic #virginatlantic #virginaustralia #virgin #richardbranson https://t.co/0MovFeNug0
6,2019-02-14 19:02:47,An early start in Launceston.  #va1361 #virgin @virginaustralia #virginaustralia @ Launceston Airport https://t.co/CM2e5fqHIK
7,2019-02-14 02:06:11,SKY HIGH: Virgin Australia reports strongest profit in 11 years {permalink @VirginAustralia #VirginAustralia #ASX #profit #airlinenews https://t.co/h2mZlfjRaK
8,2019-02-14 01:13:46,SKY HIGH: Virgin Australia reports strongest profit in 11 years https://t.co/GEFAIJaWam @VirginAustralia #VirginAustralia #ASX #profit #airlinenews https://t.co/OQX3D1uwD0
9,2019-02-13 16:44:32,KELLY on priory check tonight at Perth @VirginAustralia   Is ABOVE all the passengers!!! I strongly advise she return to customer service induction immediately !! #poorcustomerservice #stillshocked #dissapointing  #virginaustralia
10,2019-02-13 13:23:47,Did you know for every $100 shop at #Coles gets you 1 status credit via @velocityfrequentflyer ... #earnbassador   More like #YESPLEASE !!!!  #virginaustralia
11,2019-02-13 09:49:04,SKY HIGH: Virgin Australia reports strongest profit in 11 years https://t.co/n2ICb0jD0L @VirginAustralia #VirginAustralia #ASX #profit #airlinenews https://t.co/LwMoVzSR4y
12,2019-02-13 08:42:57,SKY HIGH: Virgin Australia reports strongest profit in 11 years https://t.co/n2ICb0jD0L @VirginAustralia #VirginAustralia #ASX #profit #airlinenews https://t.co/5CazMjbcWE
13,2019-02-13 08:15:23,Welcome to @Qscreen festival @VirginAustralia ✈️ 👩‍✈️ 👨‍✈️ 📽🏳️‍🌈 #MGFF19 #virginaustralia https://t.co/ky4wC3TdEX
14,2019-02-13 08:07:08,SKY HIGH: Virgin Australia reports strongest profit in 11 years https://t.co/GEFAIJsx1U @VirginAustralia #VirginAustralia #ASX #profit #airlinenews https://t.co/dgr6geCh7s
15,2019-02-13 05:01:41,Looking for ways to visit central Australia? Look no further. #VirginAustralia and Jetstar Airways flies direct from Sydney to Uluru daily. #Jetstar also flies from Melbourne and Brisbane directly.  Qantaslink flies direct from Cairns and Alice Springs. It's that easy! https://t.co/q9Ru24Sed9
16,2019-02-13 04:47:47,SKY HIGH: Virgin Australia reports strongest profit in 11 years https://t.co/GEFAIJaWam @VirginAustralia #VirginAustralia #ASX #profit #airlinenews https://t.co/e59jRc1GVx
17,2019-02-13 04:44:27,MOVERS &amp; SHAKERS: Former Flight Centre Exec named CEO &amp; MD of Virgin Australia https://t.co/SYBDBGV50L @VirginAustralia #VirginAustralia #aviationnews #airlinenews https://t.co/a68nkwbT3Y
18,2019-02-13 04:25:44,MOVERS &amp; SHAKERS: Former Flight Centre Exec named CEO &amp; MD of Virgin Australia https://t.co/43d4J9uGx5 @VirginAustralia #VirginAustralia #aviationnews #airlinenews https://t.co/TYWXXcAVQF
19,2019-02-13 02:13:16,Virgin Oz posts strongest interim profit in a decade. @VirginAustralia #virginaustralia #aviation https://t.co/q2oAG8yW32
20,2019-02-13 01:41:43,Excited to use the free 15 mins wifi onboard 😋 #VirginAustralia
21,2019-02-13 01:38:49,"Hey #virginaustralia, I have your baggage services in Perth on record saying he is not concerned that my laptop was stolen by your aeroplane cleaning crew? @PerthAirport @VirginAustralia"
22,2019-02-12 23:58:24,"@ChamberlinChris At the beginning of his reign at #VirginAustralia I asked him about flights to #Japan, I received the same answer as you."
23,2019-02-12 22:23:43,"This is why we can’t have nice things. No garment hooks on aeroplane seats. @VirginAustralia would prefer to take a bridesmaid dress, screw it up and mash it like a potato between bags overhead. Thanks. #virginaustralia #inflightwifi"
24,2019-02-12 11:34:51,"It’s as if the ‘welcome home’ sign is up.  Truth is, it’s on a truck somewhere back in Brisbane 😂🤷🏼‍♂️ #Sydney #australia #VirginAustralia https://t.co/aQuYEUscvO https://t.co/BzFItij2jM"
